Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,32.3182,-86.9023,20355,689,11395,8271,1,415.1383233551253,NA,1993,NA,84000001,USA,NA,9.943621214389063,369428,3.3849177106362074
Alaska,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,61.3707,-152.4044,548,10,382,156,2,74.90995085743188,NA,48,NA,84000002,USA,8735.074397337143,8.97196261682243,63901,1.8248175182481752
American Samoa,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,-14.271,-170.132,0,0,NA,NA,60,0,NA,NA,NA,16,ASM,312.7190381193724,NA,174,NA
Arizona,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,33.7298,-111.4312,25451,1043,5399,19009,4,349.6632717002186,NA,3320,NA,84000004,USA,3732.058823004109,13.044674079603944,373325,4.09807080271895
Arkansas,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,34.9697,-92.3731,9101,154,6266,2681,5,301.5769082418872,NA,838,NA,84000005,USA,5194.406263627459,9.207779364904956,156757,1.6921217448632018
California,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,36.1162,-119.6816,129911,4544,NA,NA,6,328.7691507511486,NA,NA,NA,84000006,USA,5841.989705312201,NA,2308300,3.4918093361251388
Colorado,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,39.0598,-105.3111,30055,1649,4055,22266,8,483.578340802565,NA,4472,NA,84000008,USA,3616.7138066409016,16.066681037579936,208277,5.483338121229532
Connecticut,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,41.5978,-72.7554,43818,4055,7284,32479,9,1229.0174675979802,NA,9669,NA,84000009,USA,8289.627174474314,22.066274133917567,295549,9.254187776712769
Delaware,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,39.3185,-75.5071,9845,521,5696,3628,10,1011.0252586869098,86154,NA,NA,84000010,USA,8.847523629955513e-7,NA,67635,5.292026409344845
Diamond Princess,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,NA,84088888,USA,NA,NA,NA,0
District of Columbia,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,38.8974,-77.0268,9269,483,1138,7648,11,1313.356448255683,NA,NA,NA,84000011,USA,7605.820199532695,NA,53678,5.2109181141439205
Florida,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,27.7663,-81.6868,62758,2688,NA,NA,12,292.20024437397666,NA,11163,NA,84000012,USA,7915.470796574145,17.787373721278563,1700064,4.28311928359731
Georgia,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,33.0406,-83.6431,51359,2178,NA,NA,13,483.7237811849448,NA,8662,NA,84000013,USA,4924.518878074275,16.865593177437255,522857,4.240736774469908
Grand Princess,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,NA,84099999,USA,NA,NA,NA,2.912621359223301
Guam,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,13.4443,144.7937,179,5,162,12,66,108.9941484147136,NA,NA,NA,316,GUM,4544.264411279372,NA,7463,2.793296089385475
Hawaii,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,21.0943,-157.4983,673,17,614,42,15,47.53254531483072,NA,83,NA,84000015,USA,3761.4275866745015,12.332838038632987,53257,2.526002971768202
Idaho,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,44.2405,-114.4788,3139,83,2408,648,16,175.6511374796104,NA,257,NA,84000016,USA,3091.0459328563875,8.187320802803441,55239,2.6441541892322395
Illinois,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,40.3495,-88.9861,126890,5864,NA,NA,17,1001.3556851852626,NA,NA,NA,84000017,USA,8065.723150603217,NA,1022074,4.621325557569548
Indiana,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,39.8494,-86.2583,36997,2233,24729,10035,18,549.5513440664957,382160,6091,NA,84000018,USA,5.676583010742817e-7,16.463497040300563,297530,6.035624510095413
Iowa,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,42.0115,-93.2105,21478,599,12715,8164,19,680.745593600142,NA,NA,NA,84000019,USA,5854.513529018373,NA,184714,2.788900270043765
Kansas,US,2020-06-06,2020,6,6,2020-06-07T03:53:50Z,38.5266,-96.7265,10361,233,612,9516,20,355.64309236834754,NA,917,NA,84000020,USA,3901.158611807721,8.8504970562687,113653,2.2488176816909564
