Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,32.3182,-86.9023,176605,2828,74439,99338,1,3601.8424758600786,NA,NA,NA,84000001,USA,NA,NA,2151069,1.601313666090994
Alaska,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,61.3707,-152.4044,11657,68,6751,4838,2,1593.4768196078164,NA,NA,NA,84000002,USA,74792.39144550232,NA,547140,0.5833404821137514
American Samoa,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,-14.271,-170.132,0,0,NA,NA,60,0,NA,NA,NA,16,ASM,2904.3331356373897,NA,1616,NA
Arizona,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,33.7298,-111.4312,233912,5854,38883,189175,4,3213.643283562199,NA,NA,NA,84000004,USA,22770.34537817585,NA,2590386,2.50265056944492
Arkansas,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,34.9697,-92.3731,101596,1751,91317,8528,5,3366.5539577785703,NA,NA,NA,84000005,USA,41180.67309871681,NA,1242752,1.723493050907516
California,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,36.1162,-119.6816,892576,17129,NA,NA,6,2259.08575176851,NA,NA,NA,84000006,USA,43766.555478288334,NA,17293139,1.9206488799762496
Colorado,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,39.0598,-105.3111,101720,2320,7286,79369,8,1542.8559322740268,NA,NA,NA,84000008,USA,29937.784958365864,NA,1724038,2.469358124458351
Connecticut,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,41.5978,-72.7554,64871,4567,9651,50653,9,1819.5169140661048,NA,NA,NA,84000009,USA,58063.376104083625,NA,2070126,7.040125788102542
Delaware,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,39.3185,-75.5071,23375,697,12335,10343,10,2400.478966156071,536265,NA,NA,84000010,USA,5.507135199083146e-6,NA,331480,2.981818181818182
Diamond Princess,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,NA,84088888,USA,NA,NA,NA,0
District of Columbia,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,38.8974,-77.0268,16498,642,12938,2918,11,2337.6582892784827,NA,NA,NA,84000011,USA,67508.84521267477,NA,476443,3.891380773427082
Florida,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,27.7663,-81.6868,762533,16210,NA,NA,12,3550.3414535712027,NA,NA,NA,84000012,USA,51539.45688039666,NA,11069509,2.125809637091116
Georgia,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,33.0406,-83.6431,343750,7704,NA,NA,13,3237.6029475325604,NA,NA,NA,84000013,USA,31343.161141832632,NA,3327836,2.241163636363636
Grand Princess,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,NA,84099999,USA,NA,NA,NA,2.912621359223301
Guam,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,13.4443,144.7937,3968,68,2398,1502,66,2416.1384408356625,NA,NA,NA,316,GUM,37291.221404258686,NA,61243,1.7137096774193548
Hawaii,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,21.0943,-157.4983,14233,203,11150,2880,15,1005.2462369479726,NA,NA,NA,84000015,USA,34111.981874067715,NA,482982,1.4262629101384108
Idaho,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,44.2405,-114.4788,55650,546,26549,28555,16,3114.0445367124307,NA,NA,NA,84000016,USA,20023.502222918585,NA,357833,0.981132075471698
Illinois,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,40.3495,-88.9861,358799,9605,NA,NA,17,2831.471498847719,NA,NA,NA,84000017,USA,54875.238531226096,NA,6953692,2.6769862792259733
Indiana,US,2020-10-21,2020,10,21,2020-10-22T04:30:36Z,39.8494,-86.2583,152396,4144,110746,37506,18,2263.681558784704,2574800,NA,NA,84000018,USA,3.8245933473049525e-6,NA,2574800,2.7192314758917555
