FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,33.93911,67.709953,58730,2572,52392,3766,Afghanistan,150.86694806747607,4.3793631874680745
NA,NA,NA,Albania,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,41.1533,20.1683,130409,2372,105016,23021,Albania,4531.551879908263,1.81889286782354
NA,NA,NA,Algeria,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,28.0339,1.6596,120736,3198,84167,33371,Algeria,275.3321055556193,2.648754306917572
NA,NA,NA,Andorra,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,42.5063,1.5218,13024,124,12458,442,Andorra,16856.273862680384,0.952088452088452
NA,NA,NA,Angola,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-11.2027,17.8739,25492,577,23092,1823,Angola,77.56280694844939,2.2634552016318845
NA,NA,NA,Antigua and Barbuda,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,17.0608,-61.7964,1227,31,1002,194,Antigua and Barbuda,1252.961359366065,2.526487367563162
NA,NA,NA,Argentina,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-38.4161,-63.6167,2845872,61474,2496277,288121,Argentina,6296.765292916637,2.1601112066881436
NA,NA,NA,Armenia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,40.0691,45.0382,212878,4001,193360,15517,Armenia,7183.975345855238,1.8794802656920864
NA,NA,Australian Capital Territory,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-35.4735,149.0124,123,3,120,0,"Australian Capital Territory, Australia",28.73160476524177,2.4390243902439024
NA,NA,New South Wales,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-33.8688,151.2093,5420,54,0,5366,"New South Wales, Australia",66.76521310667653,0.996309963099631
NA,NA,Northern Territory,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-12.4634,130.8456,160,0,111,49,"Northern Territory, Australia",65.14657980456026,0
NA,NA,Queensland,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-27.4698,153.0251,1529,7,1456,66,"Queensland, Australia",29.889551363503077,0.4578155657292348
NA,NA,South Australia,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-34.9285,138.6007,704,4,675,25,"South Australia, Australia",40.07970395673214,0.5681818181818182
NA,NA,Tasmania,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899159664,5.555555555555555
NA,NA,Victoria,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-37.8136,144.9631,20509,820,19666,23,"Victoria, Australia",309.3410157015943,3.998244673070359
NA,NA,Western Australia,Australia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-31.9505,115.8605,984,9,946,29,"Western Australia, Australia",37.40591500038014,0.9146341463414634
NA,NA,NA,Austria,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,47.5162,14.5501,599761,12267,570684,26200,Austria,6739.1410552496,1.6591043143302455
NA,NA,NA,Azerbaijan,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,40.1431,47.5769,311465,4342,276934,30189,Azerbaijan,3071.8968752388632,1.394057117172074
NA,NA,NA,Bahamas,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,25.025885,-78.035889,9976,196,9215,565,Bahamas,2536.821547725608,1.9647153167602245
NA,NA,NA,Bahrain,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,26.0275,50.55,170335,620,159198,10517,Bahrain,10010.38444789352,0.36398861067895616
NA,NA,NA,Bangladesh,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,23.685,90.3563,742400,10952,653151,78297,Bangladesh,450.7880146712311,1.4752155172413792
NA,NA,NA,Barbados,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,13.1939,-59.5432,3820,44,3718,58,Barbados,1329.2920997595445,1.1518324607329844
NA,NA,NA,Belarus,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,53.7098,27.9534,351674,2483,342102,7089,Belarus,3721.6853994059466,0.7060516273594295
NA,NA,Antwerp,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,51.2195,4.4024,123958,0,0,123958,"Antwerp, Belgium",6629.7272868275095,0
NA,NA,Brussels,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.8503,4.3517,120393,0,0,120393,"Brussels, Belgium",9882.41378036618,0
NA,NA,East Flanders,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,51.0362,3.7373,111714,0,0,111714,"East Flanders, Belgium",7324.2834804672,0
NA,NA,Flemish Brabant,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.9167,4.5833,74198,0,0,74198,"Flemish Brabant, Belgium",6419.383947473835,0
NA,NA,Hainaut,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.5257,4.0621,143792,0,0,143792,"Hainaut, Belgium",10676.24959163672,0
NA,NA,Liege,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.4496,5.8492,119694,0,0,119694,"Liege, Belgium",10785.18652009371,0
NA,NA,Limburg,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.9739,5.3420000000000005,52693,0,0,52693,"Limburg, Belgium",6005.790031571629,0
NA,NA,Luxembourg,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.0547,5.4677,28468,0,0,28468,"Luxembourg, Belgium",9927.742439459882,0
NA,NA,Namur,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.331,4.8221,54013,0,0,54013,"Namur, Belgium",10893.407444456994,0
NA,NA,Unknown,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,NA,NA,18409,23990,0,0,"Unknown, Belgium",NA,130.31669292194036
NA,NA,Walloon Brabant,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,50.4,4.35,37174,0,0,37174,"Walloon Brabant, Belgium",9155.729165383886,0
NA,NA,West Flanders,Belgium,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,51.0536,3.1458,87535,0,0,87535,"West Flanders, Belgium",7288.843369180104,0
NA,NA,NA,Belize,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,17.1899,-88.4976,12599,321,12168,110,Belize,3168.5952200713746,2.5478212556552107
NA,NA,NA,Benin,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,9.3077,2.3158,7720,97,7510,113,Benin,63.67956705813103,1.256476683937824
NA,NA,NA,Bhutan,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,27.5142,90.4336,1018,1,927,90,Bhutan,131.93159256206488,0.09823182711198428
NA,NA,NA,Bolivia,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,-16.2902,-63.5887,297185,12812,244881,39492,Bolivia,2545.911605291137,4.311119336440265
NA,NA,NA,Bosnia and Herzegovina,2021-04-24,2021,4,24,2021-04-25T04:20:32Z,43.9159,17.6791,194733,8203,153408,33122,Bosnia and Herzegovina,5935.506878626195,4.212434461544782
