Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,32.3182,-86.9023,521201,10736,NA,NA,1,10629.8457023343,NA,NA,2.0598579051076262,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,61.3707,-152.4044,65730,334,NA,NA,2,8985.093193173352,1994079,NA,0.5081393579796136,84000002,USA,272584.59835006733,NA,NA,NA
American Samoa,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,33.7298,-111.4312,851725,17123,NA,NA,4,11701.581473767974,8835798,NA,2.010390677742229,84000004,USA,121392.24536412118,NA,NA,NA
Arkansas,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,34.9697,-92.3731,332949,5686,NA,NA,5,11032.823867951663,2912158,NA,1.7077690577235554,84000005,USA,96499.24249553648,NA,NA,NA
California,US,2021-04-15,2021,4,15,2021-04-16T07:30:33Z,36.1162,-119.6816,3772178,59846,NA,NA,6,9551.535483083298,56837538,NA,1.579931659152141,84000006,USA,143847.98850725256,NA,NA,NA
Colorado,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,39.0598,-105.3111,502193,6321,NA,NA,8,8427.509092273027,7363872,NA,1.2727737277413984,84000008,USA,127873.06103283777,NA,NA,NA
Connecticut,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,41.5978,-72.7554,328000,7990,NA,NA,9,9199.820379116743,7624696,NA,2.4359756097560976,84000009,USA,213859.2489188108,NA,NA,NA
Delaware,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,39.3185,-75.5071,99915,1595,NA,NA,10,10260.699717796098,1678617,NA,1.5963569033678626,84000010,USA,1.7238437650190394e-5,NA,NA,NA
Diamond Princess,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,38.8974,-77.0268,46315,1090,NA,NA,11,6562.5314382308725,1440940,NA,2.353449206520566,84000011,USA,204171.73811085807,NA,NA,NA
Florida,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,27.7663,-81.6868,2148448,34238,NA,NA,12,10003.139530016591,26825159,NA,1.5936154842937786,84000012,USA,124897.51131601994,NA,NA,NA
Georgia,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,33.0406,-83.6431,1079979,19662,NA,NA,13,10171.762017958596,8033081,NA,1.8205909559352544,84000013,USA,75659.4231952518,NA,NA,NA
Grand Princess,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2021-04-15,2021,4,15,2021-04-16T04:31:03Z,13.4443,144.7937,7856,136,NA,NA,66,4783.56441310609,136509,NA,1.7311608961303462,316,GUM,83121.12964214603,NA,NA,NA
