FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,33.93911,67.709953,151563,6988,NA,NA,Afghanistan,389.33845138687,4.610623964951868
NA,NA,NA,Albania,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,41.1533,20.1683,134761,2460,NA,NA,Albania,4682.778511362847,1.825453951810984
NA,NA,NA,Algeria,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,28.0339,1.6596,185042,4695,NA,NA,Algeria,421.9785604643429,2.537261810832135
NA,NA,NA,Andorra,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,42.5063,1.5218,14908,129,NA,NA,Andorra,19294.63534588753,0.8653072176012879
NA,NA,NA,Angola,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-11.2027,17.8739,44174,1070,NA,NA,Angola,134.40528142714592,2.422239326300539
NA,NA,NA,Antigua and Barbuda,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,17.0608,-61.7964,1372,43,NA,NA,Antigua and Barbuda,1401.029327669308,3.1341107871720117
NA,NA,NA,Argentina,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-38.4161,-63.6167,5066253,108569,NA,NA,Argentina,11209.571637633311,2.142984173905251
NA,NA,NA,Armenia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,40.0691,45.0382,233400,4669,NA,NA,Armenia,7876.529494464494,2.000428449014567
NA,NA,Australian Capital Territory,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-35.4735,149.0124,129,3,NA,NA,"Australian Capital Territory, Australia",30.133146461107216,2.3255813953488373
NA,NA,New South Wales,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-33.8688,151.2093,12629,93,NA,NA,"New South Wales, Australia",155.5678738605568,0.7364003484044659
NA,NA,Northern Territory,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-12.4634,130.8456,199,0,NA,NA,"Northern Territory, Australia",81.02605863192183,0
NA,NA,Queensland,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-27.4698,153.0251,1948,7,NA,NA,"Queensland, Australia",38.0803440523898,0.3593429158110883
NA,NA,South Australia,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-34.9285,138.6007,868,4,NA,NA,"South Australia, Australia",49.41645317392542,0.4608294930875576
NA,NA,Tasmania,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-42.8821,147.3272,235,13,NA,NA,"Tasmania, Australia",43.88422035480859,5.531914893617022
NA,NA,Victoria,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-37.8136,144.9631,21098,820,NA,NA,"Victoria, Australia",318.2250109353082,3.886624324580529
NA,NA,Western Australia,Australia,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,-31.9505,115.8605,1059,9,NA,NA,"Western Australia, Australia",40.25697559492131,0.8498583569405099
NA,NA,NA,Austria,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,47.5162,14.5501,660710,13169,NA,NA,Austria,7393.464647361876,1.6148434038910622
NA,NA,NA,Azerbaijan,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,40.1431,47.5769,359732,5109,NA,NA,Azerbaijan,3547.94152384193,1.4202239444920106
NA,NA,NA,Bahamas,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,25.025885,-78.035889,16141,311,NA,NA,Bahamas,4104.534543087314,1.9267703364103832
NA,NA,NA,Bahrain,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,26.0275,50.55,270590,1384,NA,NA,Bahrain,15902.251021548758,0.5114749251635315
NA,NA,NA,Bangladesh,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,23.685,90.3563,1396868,23613,NA,NA,Bangladesh,848.1833950401041,1.6904245784139946
NA,NA,NA,Barbados,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,13.1939,-59.5432,4509,48,NA,NA,Barbados,1569.051852831357,1.0645375914836992
NA,NA,NA,Belarus,2021-08-12,2021,8,12,2021-08-13T04:21:24Z,53.7098,27.9534,457422,3572,NA,NA,Belarus,4840.792264333067,0.7808981640585717
