Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,32.3182,-86.9023,634897,11798,NA,NA,1,12948.6650004028,NA,NA,1.858254173511609,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,61.3707,-152.4044,79823,403,NA,NA,2,10911.56388192114,2585595,NA,0.5048670182779399,84000002,USA,353443.0554511342,NA,NA,NA
American Samoa,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,33.7298,-111.4312,965462,18464,NA,NA,4,13264.178288563768,11135053,NA,1.9124522767338328,84000004,USA,152980.98552258592,NA,NA,NA
Arkansas,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,34.9697,-92.3731,419807,6467,NA,NA,5,13911.009462509825,3459097,NA,1.5404697873070243,84000005,USA,114622.98413018209,NA,NA,NA
California,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,36.1162,-119.6816,4226203,64251,NA,NA,6,10700.870968459558,76793736,NA,1.5198365621671122,84000006,USA,194354.3799092245,NA,NA,NA
Colorado,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,39.0598,-105.3111,599137,7209,NA,NA,8,10237.072857654874,9727047,NA,1.1928227084131997,84000008,USA,168909.40998163485,NA,NA,NA
Connecticut,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,41.5978,-72.7554,361836,8307,NA,NA,9,10148.860386274651,9264240,NA,2.2957914635359664,84000009,USA,259845.5608202089,NA,NA,NA
Delaware,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,39.3185,-75.5071,114486,1838,NA,NA,10,11757.058178367652,2011892,NA,1.6054364725818004,84000010,USA,2.0660981510920508e-5,NA,NA,NA
Diamond Princess,US,2021-08-15,2021,8,15,2021-08-16T04:31:19Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
