FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,33.93911,67.709953,157648,7328,NA,NA,Afghanistan,404.9697365731563,4.64833045772861
NA,NA,NA,Albania,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,41.1533,20.1683,203925,3140,NA,NA,Albania,7086.142191952185,1.5397817825180826
NA,NA,NA,Algeria,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,28.0339,1.6596,213058,6151,NA,NA,Algeria,485.8675767415612,2.887007293788546
NA,NA,NA,Andorra,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,42.5063,1.5218,19440,133,NA,NA,Andorra,25160.163075131044,0.684156378600823
NA,NA,NA,Angola,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-11.2027,17.8739,65404,1737,NA,NA,Angola,199.00038544078083,2.655800868448413
NA,NA,NA,Antigua and Barbuda,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,17.0608,-61.7964,4162,117,NA,NA,Antigua and Barbuda,4250.0612695041245,2.811148486304661
NA,NA,NA,Argentina,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-38.4161,-63.6167,5361967,116792,NA,NA,Argentina,11856.096643719611,2.179191576676486
NA,NA,NA,Armenia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,40.0691,45.0382,342604,7819,NA,NA,Armenia,11561.827381840249,2.282226710721416
NA,NA,Australian Capital Territory,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-35.4735,149.0124,2204,15,NA,NA,"Australian Capital Territory, Australia",514.8329829479094,0.6805807622504537
NA,NA,New South Wales,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-33.8688,151.2093,87248,640,NA,NA,"New South Wales, Australia",1074.7474747474748,0.7335411699981661
NA,NA,Northern Territory,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-12.4634,130.8456,313,1,NA,NA,"Northern Territory, Australia",127.442996742671,0.3194888178913738
NA,NA,Queensland,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-27.4698,153.0251,2180,7,NA,NA,"Queensland, Australia",42.615580099697,0.3211009174311927
NA,NA,South Australia,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-34.9285,138.6007,1020,4,NA,NA,"South Australia, Australia",58.07002561912896,0.392156862745098
NA,NA,Tasmania,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-42.8821,147.3272,240,13,NA,NA,"Tasmania, Australia",44.81792717086834,5.416666666666667
NA,NA,Victoria,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-37.8136,144.9631,138409,1424,NA,NA,"Victoria, Australia",2087.6483808202233,1.0288348301049788
NA,NA,Western Australia,Australia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-31.9505,115.8605,1124,9,NA,NA,"Western Australia, Australia",42.72789477685699,0.800711743772242
NA,NA,NA,Austria,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,47.5162,14.5501,1224847,16252,NA,NA,Austria,13681.426541126308,1.0727119860023178
NA,NA,NA,Azerbaijan,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,40.1431,47.5769,604998,8104,NA,NA,Azerbaijan,5966.935179637398,1.3395085603588772
NA,NA,NA,Bahamas,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,25.025885,-78.035889,22907,708,NA,NA,Bahamas,5825.0773049068275,3.0907582834941283
NA,NA,NA,Bahrain,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,26.0275,50.55,278065,1394,NA,NA,Bahrain,16341.547841039785,0.5013216334310323
NA,NA,NA,Bangladesh,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,23.685,90.3563,1579710,28031,NA,NA,Bangladesh,959.2057309486672,1.7744396123339097
NA,NA,NA,Barbados,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,13.1939,-59.5432,26814,253,NA,NA,Barbados,9330.795382971835,0.9435369583053628
NA,NA,NA,Belarus,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,53.7098,27.9534,675734,5286,NA,NA,Belarus,7151.1381611440665,0.7822604752757742
NA,NA,Antwerp,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,51.2195,4.4024,283710,0,NA,NA,"Antwerp, Belgium",15269.759836726436,0
NA,NA,Brussels,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.8503,4.3517,227914,0,NA,NA,"Brussels, Belgium",18858.591592182976,0
NA,NA,East Flanders,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,51.0362,3.7373,243399,0,NA,NA,"East Flanders, Belgium",16065.26192952905,0
NA,NA,Flemish Brabant,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.9167,4.5833,169061,0,NA,NA,"Flemish Brabant, Belgium",14750.01635875848,0
NA,NA,Hainaut,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.5257,4.0621,236341,0,NA,NA,"Hainaut, Belgium",17581.74315468729,0
NA,NA,Liege,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.4496,5.8492,214174,0,NA,NA,"Liege, Belgium",19347.38462427913,0
NA,NA,Limburg,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.9739,5.3420000000000005,129486,0,NA,NA,"Limburg, Belgium",14814.518195797027,0
NA,NA,Luxembourg,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.0547,5.4677,52301,0,NA,NA,"Luxembourg, Belgium",18374.56699386589,0
NA,NA,Namur,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.331,4.8221,94255,0,NA,NA,"Namur, Belgium",19067.41516208972,0
NA,NA,Unknown,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,NA,NA,31743,27631,NA,NA,"Unknown, Belgium",NA,87.04596288945595
NA,NA,Walloon Brabant,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,50.4,4.35,74111,0,NA,NA,"Walloon Brabant, Belgium",18362.533108357547,0
NA,NA,West Flanders,Belgium,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,51.0536,3.1458,202698,0,NA,NA,"West Flanders, Belgium",16950.884599045326,0
NA,NA,NA,Belize,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,17.1899,-88.4976,31033,586,NA,NA,Belize,7804.668264503132,1.8883124415944317
NA,NA,NA,Benin,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,9.3077,2.3158,24897,161,NA,NA,Benin,205.36660376247255,0.6466642567377596
NA,NA,NA,Bhutan,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,27.5142,90.4336,2649,3,NA,NA,Bhutan,343.3072580519743,0.1132502831257078
NA,NA,NA,Bolivia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-16.2902,-63.5887,553108,19317,NA,NA,Bolivia,4738.341693488468,3.492446321514062
NA,NA,NA,Bosnia and Herzegovina,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,43.9159,17.6791,281903,12999,NA,NA,Bosnia and Herzegovina,8592.468639652037,4.61116057651036
NA,NA,NA,Botswana,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-22.3285,24.6849,196090,2421,NA,NA,Botswana,8338.489342475947,1.234637156407772
NA,NA,Acre,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-9.0238,-70.812,88284,1849,NA,NA,"Acre, Brazil",10007.993786390154,2.0948518082117285
NA,NA,Alagoas,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-9.5713,-36.782,241825,6372,NA,NA,"Alagoas, Brazil",7244.415266332009,2.6326456330757906
NA,NA,Amapa,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,0.902,-52.003,125542,2007,NA,NA,"Amapa, Brazil",14809.910006846148,1.6007728419506275
NA,NA,Amazonas,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-3.4168,-65.8561,431592,13812,NA,NA,"Amazonas, Brazil",10401.156011066938,3.2040010577935725
NA,NA,Bahia,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-12.5797,-41.7007,1264804,27399,NA,NA,"Bahia, Brazil",8503.990838740423,2.163971650943546
NA,NA,Ceara,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-5.4984,-39.3206,953239,24721,NA,NA,"Ceara, Brazil",10434.580168938548,2.593048124975076
NA,NA,Distrito Federal,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-15.7998,-47.8645,518430,11063,NA,NA,"Distrito Federal, Brazil",17189.483654520922,2.1323187519414093
NA,NA,Espirito Santo,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-19.1834,-40.3089,625227,13247,NA,NA,"Espirito Santo, Brazil",15529.045823846316,2.1206362229151776
NA,NA,Goias,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-15.827,-49.8362,943102,24604,NA,NA,"Goias, Brazil",13430.641999534362,2.6098810748878116
NA,NA,Maranhao,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-4.9609,-45.2744,367631,10338,NA,NA,"Maranhao, Brazil",5186.157074992145,2.816068459924236
NA,NA,Mato Grosso,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-12.6819,-56.9211,554659,14023,NA,NA,"Mato Grosso, Brazil",15809.567377038547,2.497644673331167
NA,NA,Mato Grosso do Sul,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-20.7722,-54.7852,379502,9706,NA,NA,"Mato Grosso do Sul, Brazil",13654.188973963885,2.557135628597331
NA,NA,Minas Gerais,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-18.5122,-44.555,2215192,56479,NA,NA,"Minas Gerais, Brazil",10456.525363210398,2.547345404604431
NA,NA,Para,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-1.9981,-54.9306,616595,16987,NA,NA,"Para, Brazil",7136.901485725976,2.763128320558717
NA,NA,Paraiba,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-7.24,-36.782,462585,9559,NA,NA,"Paraiba, Brazil",11509.093664784612,2.0661693156016865
NA,NA,Parana,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-25.2521,-52.0215,1589364,40833,NA,NA,"Parana, Brazil",13871.68064389257,2.5735743801392363
NA,NA,Pernambuco,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-8.8137,-36.9541,643336,20327,NA,NA,"Pernambuco, Brazil",6726.757601779876,3.157816143267572
NA,NA,Piaui,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-7.7183,-42.7289,333687,7233,NA,NA,"Piaui, Brazil",10183.161754439883,2.1660996405834667
NA,NA,Rio Grande do Norte,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-5.4026,-36.9541,384437,7527,NA,NA,"Rio Grande do Norte, Brazil",10951.471304899293,1.9565058898274192
NA,NA,Rio Grande do Sul,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-30.0346,-51.2177,1498577,36273,NA,NA,"Rio Grande do Sul, Brazil",13165.66347951379,2.4208736428400237
NA,NA,Rio de Janeiro,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-22.9068,-43.1729,1349551,69290,NA,NA,"Rio de Janeiro, Brazil",7815.7512596479455,5.130040722254953
NA,NA,Rondonia,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-11.5057,-63.5806,280495,6671,NA,NA,"Rondonia, Brazil",15782.751199201,2.378295513289007
NA,NA,Roraima,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-2.7376,-62.0751,128751,2063,NA,NA,"Roraima, Brazil",21248.809348901632,1.6011871003830107
NA,NA,Santa Catarina,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-27.2423,-50.2189,1237776,20088,NA,NA,"Santa Catarina, Brazil",17265.828381802785,1.6226375438539764
NA,NA,Sao Paulo,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-23.5505,-46.6333,4449552,154691,NA,NA,"Sao Paulo, Brazil",9687.6265882597,3.4762095517870653
NA,NA,Sergipe,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-10.5741,-37.3857,278402,6052,NA,NA,"Sergipe, Brazil",12108.908703021192,2.1731867058024696
NA,NA,Tocantins,Brazil,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-10.1753,-48.2982,234113,3927,NA,NA,"Tocantins, Brazil",14884.484755853327,1.677395104073674
NA,NA,NA,Brunei,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,4.5353,114.7277,15362,98,NA,NA,Brunei,3511.450730656962,0.637937768519724
NA,NA,NA,Bulgaria,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,42.7339,25.4858,714688,29536,NA,NA,Bulgaria,10285.581881989425,4.132712456344587
NA,NA,NA,Burkina Faso,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,12.2383,-1.5616,16334,290,NA,NA,Burkina Faso,78.14085427175584,1.7754377372352148
NA,NA,NA,Burma,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,21.9162,95.956,526911,19188,NA,NA,Burma,968.4120472869278,3.6416017126231943
NA,NA,NA,Burundi,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-3.3731,29.9189,20886,38,NA,NA,Burundi,175.64868110849912,0.1819400555395959
NA,NA,NA,Cabo Verde,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,16.5388,-23.0418,38503,351,NA,NA,Cabo Verde,6925.149463657489,0.9116172765758512
NA,NA,NA,Cambodia,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,11.55,104.9167,120370,2989,NA,NA,Cambodia,719.9605765211267,2.48317687131345
NA,NA,NA,Cameroon,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,3.848,11.5021,107549,1823,NA,NA,Cameroon,405.1440932568629,1.6950413299984193
NA,NA,Alberta,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,53.9333,-116.5765,339291,3275,NA,NA,"Alberta, Canada",7688.18887931648,0.9652481203450726
NA,NA,British Columbia,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,53.7267,-127.6476,223142,2386,NA,NA,"British Columbia, Canada",4365.987551744628,1.0692742737808212
NA,NA,Diamond Princess,Canada,2021-12-13,2021,12,13,2020-12-21T13:27:30Z,NA,NA,0,1,NA,NA,"Diamond Princess, Canada",NA,NA
NA,NA,Grand Princess,Canada,2021-12-13,2021,12,13,2020-12-21T13:27:30Z,NA,NA,13,0,NA,NA,"Grand Princess, Canada",NA,0
NA,NA,Manitoba,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,53.7609,-98.8139,69979,1353,NA,NA,"Manitoba, Canada",5080.082496259574,1.9334371740093457
NA,NA,New Brunswick,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,46.5653,-66.4619,9704,142,NA,NA,"New Brunswick, Canada",1244.1137292257754,1.4633140972794725
NA,NA,Newfoundland and Labrador,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,53.1355,-57.6604,2093,18,NA,NA,"Newfoundland and Labrador, Canada",401.44620371524735,0.8600095556617295
NA,NA,Northwest Territories,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,64.8255,-124.8457,2071,12,NA,NA,"Northwest Territories,Canada",4612.061286299661,0.5794302269435055
NA,NA,Nova Scotia,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,44.681999999999995,-63.7443,9009,110,NA,NA,"Nova Scotia, Canada",899.272295354169,1.2514220705346986
NA,NA,Nunavut,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,70.2998,-83.1076,676,4,NA,NA,"Nunavut, Canada",1743.166580711707,0.591715976331361
NA,NA,Ontario,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,51.2538,-85.3232,640952,10079,NA,NA,"Ontario, Canada",4367.322970831563,1.5767774348534582
NA,NA,Prince Edward Island,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,46.5107,-63.4168,420,0,NA,NA,"Prince Edward Island, Canada",265.55722758254404,0
NA,NA,Quebec,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,52.9399,-73.5491,467608,11611,NA,NA,"Quebec, Canada",5476.995256553483,2.483062736309045
NA,NA,Repatriated Travellers,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,NA,NA,13,0,NA,NA,"Repatriated Travellers, Canada",NA,0
NA,NA,Saskatchewan,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,52.9399,-106.4509,81852,937,NA,NA,"Saskatchewan, Canada",6926.83042416385,1.1447490592777207
NA,NA,Yukon,Canada,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,64.2823,-135,1597,14,NA,NA,"Yukon, Canada",3887.725789960563,0.8766437069505323
NA,NA,NA,Central African Republic,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,6.6111,20.9394,11961,101,NA,NA,Central African Republic,247.65185214018743,0.8444110024245465
NA,NA,NA,Chad,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,15.4542,18.7322,5703,181,NA,NA,Chad,34.719645407890084,3.1737681921795544
NA,NA,Antofagasta,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-23.6509,-70.3975,66054,1278,NA,NA,"Antofagasta, Chile",10872.477918931289,1.9347806340267055
NA,NA,Araucania,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-38.9489,-72.3311,102714,1542,NA,NA,"Araucania, Chile",10730.403750846195,1.501255914480986
NA,NA,Arica y Parinacota,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-18.594,-69.4785,28705,543,NA,NA,"Arica y Parinacota, Chile",12697.506944813063,1.8916565058352204
NA,NA,Atacama,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-27.5661,-70.0503,30273,376,NA,NA,"Atacama, Chile",10477.116673126971,1.2420308525749018
NA,NA,Aysen,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-45.9864,-73.7669,10088,89,NA,NA,"Aysen, Chile",9779.17369472072,0.8822363203806503
NA,NA,Biobio,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-37.4464,-72.1416,164472,2783,NA,NA,"Biobio, Chile",10564.714270573386,1.6920813269127877
NA,NA,Coquimbo,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-29.959,-71.3389,54023,1074,NA,NA,"Coquimbo, Chile",7130.939589696747,1.988042130203802
NA,NA,Los Lagos,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-41.9198,-72.1416,97270,1461,NA,NA,"Los Lagos, Chile",11737.54808690154,1.5020047291045544
NA,NA,Los Rios,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-40.231,-72.3311,52700,711,NA,NA,"Los Rios, Chile",13694.10945413253,1.349146110056926
NA,NA,Magallanes,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-52.368,-70.9863,29831,502,NA,NA,"Magallanes, Chile",17912.96619889151,1.682813180919178
NA,NA,Maule,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-35.5183,-71.6885,108805,1843,NA,NA,"Maule, Chile",10412.459926312264,1.6938559808832314
NA,NA,Metropolitana,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-33.4376,-70.6505,747194,19815,NA,NA,"Metropolitana, Chile",10504.908891115858,2.651921723140175
NA,NA,Nuble,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-36.7226,-71.762200000000007,38908,670,NA,NA,"Nuble, Chile",8095.562088932999,1.7220108975017991
NA,NA,OHiggins,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-34.5755,-71.0022,72735,1617,NA,NA,"OHiggins, Chile",7953.048203771233,2.223138791503403
NA,NA,Tarapaca,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-19.9232,-69.5132,44441,821,NA,NA,"Tarapaca, Chile",13444.23671488816,1.8473931729709052
NA,NA,Unknown,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,NA,NA,46,0,NA,NA,"Unknown, Chile",NA,0
NA,NA,Valparaiso,Chile,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,-33.0472,-71.6127,135906,3591,NA,NA,"Valparaiso, Chile",7484.214456507014,2.642267449560726
NA,NA,Anhui,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,31.8257,117.2264,1008,6,NA,NA,"Anhui, China",1.5939278937381405,0.5952380952380952
NA,NA,Beijing,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,40.1824,116.4142,1198,9,NA,NA,"Beijing, China",5.561745589600743,0.7512520868113522
NA,NA,Chongqing,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,30.0572,107.874,610,6,NA,NA,"Chongqing, China",1.966473243068988,0.9836065573770492
NA,NA,Fujian,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,26.0789,117.9874,1333,1,NA,NA,"Fujian, China",3.382390256280132,0.07501875468867217
NA,NA,Gansu,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,35.7518,104.2861,344,2,NA,NA,"Gansu, China",1.30451270383011,0.5813953488372093
NA,NA,Guangdong,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,23.3417,113.4244,3343,8,NA,NA,"Guangdong, China",2.9464128327163763,0.23930601256356565
NA,NA,Guangxi,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,23.8298,108.7881,497,2,NA,NA,"Guangxi, China",1.0089321965083229,0.4024144869215292
NA,NA,Guizhou,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,26.8154,106.8748,159,2,NA,NA,"Guizhou, China",0.44166666666666665,1.2578616352201255
NA,NA,Hainan,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,19.1959,109.7453,190,6,NA,NA,"Hainan, China",2.0342612419700212,3.1578947368421053
NA,NA,Hebei,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,37.8957,114.9042,1458,7,NA,NA,"Hebei, China",1.9295923769190049,0.48010973936899864
NA,NA,Heilongjiang,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,47.861999999999995,127.7615,2035,13,NA,NA,"Heilongjiang, China",5.393586005830903,0.6388206388206388
NA,NA,Henan,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,33.882,113.614,1638,22,NA,NA,"Henan, China",1.7053617907339926,1.343101343101343
NA,NA,Hong Kong,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,22.3,114.2,12490,213,NA,NA,"Hong Kong, China",166.6002399897132,1.7053642914331466
NA,NA,Hubei,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,30.9756,112.2707,68315,4512,NA,NA,"Hubei, China",115.45546729761703,6.604698821635073
NA,NA,Hunan,China,2021-12-13,2021,12,13,2021-12-14T04:22:38Z,27.6104,111.7088,1200,4,NA,NA,"Hunan, China",1.739382519205682,0.3333333333333333
