Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,32.3182,-86.9023,852574,16265,NA,NA,1,17388.167079153653,NA,NA,1.9077522889508711,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,61.3707,-152.4044,153835,887,NA,NA,2,21028.781551374148,3593091,NA,0.5765918029057107,84000002,USA,491164.7267085415,NA,NA,NA
American Samoa,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,-14.271,-170.132,10,0,NA,NA,60,17.97235851260761,2140,NA,0,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,33.7298,-111.4312,1318580,23040,NA,NA,4,18115.55525513631,15029687,NA,1.747334253515145,84000004,USA,206488.13520294853,NA,NA,NA
Arkansas,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,34.9697,-92.3731,538701,8865,NA,NA,5,17850.76167968496,4305108,NA,1.6456253097729538,84000005,USA,142656.97838560757,NA,NA,NA
California,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,36.1162,-119.6816,5167041,75326,NA,NA,6,13081.630461540975,114042927,NA,1.4583147524504032,84000006,USA,288626.9572835728,NA,NA,NA
Colorado,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,39.0598,-105.3111,876792,10346,NA,NA,8,14905.736258790124,13468933,NA,1.126538068132836,84000008,USA,233886.9675567694,NA,NA,NA
Connecticut,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,41.5978,-72.7554,447316,8972,NA,NA,9,12546.42333141764,11330031,NA,2.0057409079934545,84000009,USA,317787.3478348307,NA,NA,NA
Delaware,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,39.3185,-75.5071,161359,2218,NA,NA,10,16570.647508020425,2638422,NA,1.3745747060901468,84000010,USA,2.709508669451736e-5,NA,NA,NA
Diamond Princess,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,38.8974,-77.0268,68702,1199,NA,NA,11,9734.622365741929,2473461,NA,1.7452184798113592,84000011,USA,350473.1852259089,NA,NA,NA
Florida,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,27.7663,-81.6868,3754042,62073,NA,NA,12,17478.75951735511,44667528,NA,1.6534977498919832,84000012,USA,207971.2960448301,NA,NA,NA
Georgia,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,33.0406,-83.6431,1681906,30860,NA,NA,13,15841.000212575123,13327862,NA,1.8348231113986155,84000013,USA,125528.2190414755,NA,NA,NA
Grand Princess,US,2021-12-13,2021,12,13,2021-12-14T04:32:42Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
