Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,32.3182,-86.9023,491110,9831,285130,196149,1,10016.14256855493,NA,NA,2.0017918592576,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,61.3707,-152.4044,58179,290,NA,NA,2,7952.894217033812,1671043,NA,0.4984616442358927,84000002,USA,228426.5492895174,NA,NA,NA
American Samoa,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,33.7298,-111.4312,812907,15814,NA,NA,4,11168.273199796064,7549777,NA,1.945363983825948,84000004,USA,51225.63495736955,NA,NA,NA
Arkansas,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,34.9697,-92.3731,318122,5397,307978,4747,5,10541.506340372003,2627733,NA,1.6965189455617655,84000005,USA,87074.34280026138,NA,NA,NA
California,US,2021-02-25,2021,2,25,2021-02-26T08:30:29Z,36.1162,-119.6816,3611294,51290,NA,NA,6,9144.038795286207,47814160,NA,1.4155221694469409,84000006,USA,121011.06029898649,NA,NA,NA
Colorado,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,39.0598,-105.3111,441690,6062,NA,NA,8,7374.482872630383,6119346,NA,1.395177982325391,84000008,USA,106261.96443108348,NA,NA,NA
Connecticut,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,41.5978,-72.7554,279159,7614,NA,NA,9,7829.916637847107,6267131,NA,2.72747788894501,84000009,USA,175781.94967193383,NA,NA,NA
Delaware,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,39.3185,-75.5071,85801,1406,NA,NA,10,8811.272546530781,1416608,NA,1.6386755399121222,84000010,USA,1.4547754897490562e-5,NA,NA,NA
Diamond Princess,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,38.8974,-77.0268,40122,1005,28679,10438,11,5685.023995783204,1209653,NA,2.504860176461792,84000011,USA,171399.88862896015,NA,NA,NA
Florida,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,27.7663,-81.6868,1892301,30478,NA,NA,12,8810.523194319774,22981739,NA,1.6106317123967064,84000012,USA,107002.60925999792,NA,NA,NA
Georgia,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,33.0406,-83.6431,997388,17199,NA,NA,13,9393.880228752309,7125751,NA,1.7244041436231436,84000013,USA,67113.75255558718,NA,NA,NA
Grand Princess,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,13.4443,144.7937,7729,130,7559,40,66,4706.233369258779,117265,NA,1.6819769698537974,316,GUM,71403.34532877871,NA,NA,NA
Hawaii,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,21.0943,-157.4983,28124,435,NA,NA,15,1986.337748045021,1080715,NA,1.546721661214621,84000015,USA,76328.5805496542,NA,NA,NA
Idaho,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,44.2405,-114.4788,170595,1850,93252,75493,16,9546.099330466435,635314,NA,1.0844397549752338,84000016,USA,35550.69345547028,NA,NA,NA
Illinois,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,40.3495,-88.9861,1181226,22607,NA,NA,17,9321.675235153652,17895829,NA,1.9138589905742,84000017,USA,141225.39294076205,NA,NA,NA
Indiana,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,39.8494,-86.2583,659127,12494,NA,NA,18,9790.6351531345,7902509,NA,1.8955375822868727,84000018,USA,1.173834214246447e-5,NA,NA,NA
Iowa,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,42.0115,-93.2105,335244,5438,312817,16989,19,10625.564567505631,1308496,NA,1.6221021107014593,84000019,USA,41472.80408992512,NA,NA,NA
Kansas,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,38.5266,-96.7265,295215,4719,NA,NA,20,10133.305232460352,1248768,NA,1.5984960113815354,84000020,USA,42864.17461351575,NA,NA,NA
Kentucky,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,37.6681,-84.6701,401750,4570,47259,349921,21,8992.377015954391,3878912,NA,1.1375233354075918,84000021,USA,86821.75262155489,NA,NA,NA
Louisiana,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,31.1695,-91.8678,427689,9561,408463,9665,22,9199.998967474145,5521097,NA,2.235502900472072,84000022,USA,118764.07085364504,NA,NA,NA
Maine,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,44.6939,-69.3819,44118,701,12786,30631,23,3282.071577995138,1607004,NA,1.5889206219683576,84000023,USA,119549.89242768256,NA,NA,NA
Maryland,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,39.0639,-76.8021,379466,7805,9635,362026,24,6276.647126543251,7755974,NA,2.056837766756442,84000024,USA,1.2828952243585504e-5,NA,NA,NA
Massachusetts,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,42.2302,-71.5301,575993,13266,494740,65275,25,8356.80448742641,16446149,NA,2.773992045042214,84000025,USA,2.386092396332653e-5,NA,NA,NA
Michigan,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,43.3266,-84.5361,642868,16436,529080,97352,26,6437.140333540372,10308944,NA,2.556667931830485,84000026,USA,1.0322510876044384e-5,NA,NA,NA
Minnesota,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,45.6945,-93.9002,481831,6518,468498,6815,27,8543.660295565385,6831489,NA,1.3527564644034942,84000027,USA,121133.59524167536,NA,NA,NA
Mississippi,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,32.7416,-89.6787,292811,6613,273437,12761,28,9838.586710544398,1728997,NA,2.258453405097486,84000028,USA,58095.108813436425,NA,NA,NA
Missouri,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,38.4561,-92.2884,561281,8255,NA,NA,29,9145.21522696478,4445341,NA,1.470742818659459,84000029,USA,72430.03095107593,NA,NA,NA
Montana,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,46.9219,-110.4544,99445,1350,96178,1917,30,9304.551553269248,1063419,NA,1.3575343154507518,84000030,USA,99498.58623586938,NA,NA,NA
Nebraska,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,41.1254,-98.2681,200163,2063,153753,44347,31,10347.5068341322,2347453,NA,1.0306600120901466,84000031,USA,121352.527491615,NA,NA,NA
Nevada,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,38.3135,-117.0554,292630,4933,NA,NA,32,9500.492832181228,2696649,NA,1.6857465058264702,84000032,USA,87549.10465573822,NA,NA,NA
New Hampshire,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,43.4525,-71.5639,74568,1163,70547,2858,33,5484.1065491122745,1443626,NA,1.559650252118871,84000033,USA,106171.53203879354,NA,NA,NA
New Jersey,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,40.2989,-74.521,778963,23147,NA,NA,34,8769.942998292088,10535018,NA,2.971514693252439,84000034,USA,118608.33870925974,NA,NA,NA
New Mexico,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,34.8405,-106.2485,184080,3671,139593,40816,35,8778.970531216422,2652210,NA,1.9942416340721425,84000035,USA,126486.7092166314,NA,NA,NA
New York,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,42.1657,-74.9481,1619924,47065,NA,NA,36,8327.133525836221,37256699,NA,2.905383215508876,84000036,USA,191516.0879799848,NA,NA,NA
North Carolina,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,35.6301,-79.8064,852981,11137,NA,NA,37,8132.858203652831,10103137,NA,1.305656280737789,84000037,USA,9.63296727981965e-6,NA,NA,NA
North Dakota,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,47.5289,-99.784,99494,1471,97474,676,38,13072.558400760045,1403080,NA,1.4765962999769124,84000038,USA,184116.25300828548,NA,NA,NA
Northern Mariana Islands,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,15.0979,145.6739,143,2,29,112,69,259.3210503409256,17572,NA,1.3986013986013983,580,MNP,31865.660815319887,NA,NA,NA
Ohio,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,40.3888,-82.7649,962404,18604,901025,42771,39,8233.345595469284,11912875,NA,1.933491548247929,84000039,USA,1.0191439032945222e-5,NA,NA,NA
Oklahoma,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,35.5653,-96.9289,423191,4302,404310,14579,40,10694.821872588907,3456445,NA,1.016562261484767,84000040,USA,87350.77916921808,NA,NA,NA
Oregon,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,44.572,-122.0709,154554,2204,NA,NA,41,3664.382108225335,3526219,NA,1.4260387955018958,84000041,USA,83604.52536514249,NA,NA,NA
Pennsylvania,US,2021-02-25,2021,2,25,2021-02-26T05:30:48Z,40.5908,-77.2098,930910,23863,830691,76356,42,7271.604435841962,10244968,NA,2.5634056997991213,84000042,USA,80026.37715123799,NA,NA,NA
