FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,33.93911,67.709953,127464,5360,76218,45886,Afghanistan,327.4323968750685,4.205108893491496
NA,NA,NA,Albania,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,41.1533,20.1683,132544,2456,130033,55,Albania,4605.740496212385,1.8529695799130856
NA,NA,NA,Algeria,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,28.0339,1.6596,142447,3775,99101,39571,Algeria,324.8429005440076,2.650108461392658
NA,NA,NA,Andorra,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,42.5063,1.5218,13991,127,13752,112,Andorra,18107.810781078108,0.90772639553999
NA,NA,NA,Angola,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-11.2027,17.8739,39375,920,34019,4436,Angola,119.80368443414385,2.3365079365079366
NA,NA,NA,Antigua and Barbuda,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,17.0608,-61.7964,1265,42,1222,1,Antigua and Barbuda,1291.7653786455355,3.3201581027667983
NA,NA,NA,Argentina,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-38.4161,-63.6167,4574340,96983,4192546,284811,Argentina,10121.166851495882,2.1201528526519673
NA,NA,NA,Armenia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,40.0691,45.0382,225661,4530,217250,3881,Armenia,7615.362134748724,2.007435932660052
NA,NA,Australian Capital Territory,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-35.4735,149.0124,124,3,121,0,"Australian Capital Territory, Australia",28.96519504788601,2.4193548387096775
NA,NA,New South Wales,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-33.8688,151.2093,6025,54,0,5971,"New South Wales, Australia",74.21778763242177,0.8962655601659751
NA,NA,Northern Territory,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-12.4634,130.8456,185,0,177,8,"Northern Territory, Australia",75.3257328990228,0
NA,NA,Queensland,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-27.4698,153.0251,1729,7,1641,81,"Queensland, Australia",33.7992376111817,0.4048582995951417
NA,NA,South Australia,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-34.9285,138.6007,813,4,794,15,"South Australia, Australia",46.28522630230572,0.4920049200492005
NA,NA,Tasmania,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899159664,5.555555555555555
NA,NA,Victoria,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-37.8136,144.9631,20718,820,19879,19,"Victoria, Australia",312.4934011071057,3.9579109952698137
NA,NA,Western Australia,Australia,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,-31.9505,115.8605,1033,9,1013,11,"Western Australia, Australia",39.26860792214704,0.8712487899322362
NA,NA,NA,Austria,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,47.5162,14.5501,646475,13091,638456,1727,Austria,7227.094066441641,1.646640579750223
NA,NA,NA,Azerbaijan,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,40.1431,47.5769,336557,4978,330513,1066,Azerbaijan,3319.372631402456,1.4790956658158945
NA,NA,NA,Bahamas,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,25.025885,-78.035889,12889,251,11740,898,Bahamas,3277.5754740011394,1.947397005198231
NA,NA,NA,Bahrain,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,26.0275,50.55,266685,1366,263660,1659,Bahrain,15672.758836918329,0.5122147852335152
NA,NA,NA,Bangladesh,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,23.685,90.3563,966406,15392,844515,106499,Bangladesh,586.8052830096522,1.592705343302918
NA,NA,NA,Barbados,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,13.1939,-59.5432,4096,47,4008,41,Barbados,1425.3351938782966,1.1474609375
NA,NA,NA,Belarus,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,53.7098,27.9534,422521,3204,415363,3954,Belarus,4471.442974579867,0.758305504341796
NA,NA,Antwerp,Belgium,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,51.2195,4.4024,141868,0,0,141868,"Antwerp, Belgium",7587.619602830355,0
NA,NA,Brussels,Belgium,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,50.8503,4.3517,134169,0,0,134169,"Brussels, Belgium",11013.211519755716,0
NA,NA,East Flanders,Belgium,2021-07-06,2021,7,6,2021-07-07T04:21:20Z,51.0362,3.7373,124995,0,0,124995,"East Flanders, Belgium",8195.023127280356,0
