FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,33.93911,67.709953,88740,3449,60939,24352,Afghanistan,227.95731264273505,3.8866351138156414
NA,NA,NA,Albania,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,41.1533,20.1683,132449,2453,129826,170,Albania,4602.439363402599,1.85203361293781
NA,NA,NA,Algeria,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,28.0339,1.6596,133070,3565,92620,36885,Algeria,303.459144631976,2.679041106184715
NA,NA,NA,Andorra,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,42.5063,1.5218,13813,127,13591,95,Andorra,17877.43480230376,0.9194237312676464
NA,NA,NA,Angola,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-11.2027,17.8739,36600,825,30207,5568,Angola,111.36037715021372,2.2540983606557377
NA,NA,NA,Antigua and Barbuda,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,17.0608,-61.7964,1263,42,1214,7,Antigua and Barbuda,1289.7230618413528,3.32541567695962
NA,NA,NA,Argentina,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-38.4161,-63.6167,4111147,85075,3695288,330784,Argentina,9096.30782539705,2.069373826817674
NA,NA,NA,Armenia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,40.0691,45.0382,223643,4482,215118,4043,Armenia,7547.260864312437,2.0040868705928645
NA,NA,Australian Capital Territory,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-35.4735,149.0124,124,3,121,0,"Australian Capital Territory, Australia",28.96519504788601,2.4193548387096775
NA,NA,New South Wales,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-33.8688,151.2093,5613,54,0,5559,"New South Wales, Australia",69.14264597191426,0.9620523784072688
NA,NA,Northern Territory,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-12.4634,130.8456,175,0,171,4,"Northern Territory, Australia",71.25407166123779,0
NA,NA,Queensland,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-27.4698,153.0251,1650,7,1603,40,"Queensland, Australia",32.25491154334865,0.42424242424242425
NA,NA,South Australia,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-34.9285,138.6007,774,4,767,3,"South Australia, Australia",44.064901793339025,0.5167958656330749
NA,NA,Tasmania,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899159664,5.555555555555555
NA,NA,Victoria,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-37.8136,144.9631,20660,820,19772,68,"Victoria, Australia",311.61857644911686,3.9690222652468536
NA,NA,Western Australia,Australia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-31.9505,115.8605,1018,9,1009,0,"Western Australia, Australia",38.6983958032388,0.8840864440078585
NA,NA,NA,Austria,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,47.5162,14.5501,643653,12999,633538,4197,Austria,7199.180582696749,1.6428460163451766
NA,NA,NA,Azerbaijan,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,40.1431,47.5769,335126,4953,328398,1775,Azerbaijan,3305.259057073184,1.4779515764220024
NA,NA,NA,Bahamas,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,25.025885,-78.035889,12092,236,11081,775,Bahamas,3074.9043860362926,1.951703605689712
NA,NA,NA,Bahrain,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,26.0275,50.55,257852,1206,242678,13968,Bahrain,15153.653979852876,0.46771015931619686
NA,NA,NA,Bangladesh,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,23.685,90.3563,824486,13071,764024,47391,Bangladesh,500.6309362395267,1.585351358300808
NA,NA,NA,Barbados,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,13.1939,-59.5432,4036,47,3971,18,Barbados,1404.4562603742202,1.1645193260654112
NA,NA,NA,Belarus,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,53.7098,27.9534,404740,2969,397587,4184,Belarus,4283.270723896458,0.7335573454563423
NA,NA,Antwerp,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,51.2195,4.4024,140073,0,0,140073,"Antwerp, Belgium",7491.616436597797,0
NA,NA,Brussels,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.8503,4.3517,132244,0,0,132244,"Brussels, Belgium",10855.198624261751,0
NA,NA,East Flanders,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,51.0362,3.7373,123235,0,0,123235,"East Flanders, Belgium",8079.632586026599,0
NA,NA,Flemish Brabant,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.9167,4.5833,81845,0,0,81845,"Flemish Brabant, Belgium",7080.9789910913505,0
NA,NA,Hainaut,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.5257,4.0621,158655,0,0,158655,"Hainaut, Belgium",11779.795669864276,0
NA,NA,Liege,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.4496,5.8492,129776,0,0,129776,"Liege, Belgium",11693.63849342224,0
NA,NA,Limburg,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.9739,5.3420000000000005,60664,0,0,60664,"Limburg, Belgium",6914.300694119926,0
NA,NA,Luxembourg,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.0547,5.4677,31141,0,0,31141,"Luxembourg, Belgium",10859.906818435442,0
NA,NA,Namur,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.331,4.8221,59075,0,0,59075,"Namur, Belgium",11914.317752787234,0
NA,NA,Unknown,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,NA,NA,20627,25081,0,0,"Unknown, Belgium",NA,121.59305764289525
NA,NA,Walloon Brabant,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,50.4,4.35,41367,0,0,41367,"Walloon Brabant, Belgium",10188.43945726678,0
NA,NA,West Flanders,Belgium,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,51.0536,3.1458,97063,0,0,97063,"West Flanders, Belgium",8082.218586196704,0
NA,NA,NA,Belize,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,17.1899,-88.4976,12938,325,12463,150,Belize,3253.852286473803,2.511980213325089
NA,NA,NA,Benin,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,9.3077,2.3158,8109,102,7979,28,Benin,66.88829135678556,1.2578616352201255
NA,NA,NA,Bhutan,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,27.5142,90.4336,1808,1,1440,367,Bhutan,234.3146555522724,0.05530973451327434
NA,NA,NA,Bolivia,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-16.2902,-63.5887,405347,15485,319666,70196,Bolivia,3472.509149082042,3.8201836944642498
NA,NA,NA,Bosnia and Herzegovina,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,43.9159,17.6791,204597,9479,177122,17996,Bosnia and Herzegovina,6236.1638800115215,4.633010259192461
NA,NA,NA,Botswana,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-22.3285,24.6849,59480,896,55617,2967,Botswana,2529.3148354861,1.5063887020847344
NA,NA,Acre,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-9.0238,-70.812,84104,1707,78503,3894,"Acre, Brazil",9536.303695850602,2.0296299819271377
NA,NA,Alagoas,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-9.5713,-36.782,202492,4984,190207,7301,"Alagoas, Brazil",6067.435998006806,2.461331805700966
NA,NA,Amapa,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,0.902,-52.003,113828,1756,89782,22290,"Amapa, Brazil",13459.12589227544,1.5426784271005376
NA,NA,Amazonas,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-3.4168,-65.8561,393178,13136,334812,45230,"Amazonas, Brazil",9486.519437233585,3.3409804210815457
NA,NA,Bahia,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-12.5797,-41.7007,1062742,22425,1021005,19312,"Bahia, Brazil",7145.414018254745,2.1101076272510166
NA,NA,Ceara,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-5.4984,-39.3206,841280,21379,585847,229997,"Ceara, Brazil",9167.935271687342,2.553560998682549
NA,NA,Distrito Federal,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-15.7998,-47.8645,416129,8937,395333,11859,"Distrito Federal, Brazil",13800.73015068644,2.147651329275297
NA,NA,Espirito Santo,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-19.1834,-40.3089,497847,11132,470590,16026,"Espirito Santo, Brazil",12385.87585383151,2.235883836100814
NA,NA,Goias,Brazil,2021-06-12,2021,6,12,2021-06-13T04:22:44Z,-15.827,-49.8362,638210,17949,606505,13428,"Goias, Brazil",9088.470031577204,2.810643698235195
