Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,32.3182,-86.9023,541928,11112,NA,NA,1,11052.570930935708,NA,NA,2.050456887261777,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,61.3707,-152.4044,69902,369,NA,NA,2,9555.393038022268,2224847,NA,0.527881891791365,84000002,USA,304129.8894804831,NA,NA,NA
American Samoa,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,33.7298,-111.4312,876411,17547,NA,NA,4,12040.734651450248,9557673,NA,2.002142830247452,84000004,USA,131309.858591837,NA,NA,NA
Arkansas,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,34.9697,-92.3731,340040,5816,NA,NA,5,11267.796053023989,3032679,NA,1.7103870132925538,84000005,USA,100492.90808813296,NA,NA,NA
California,US,2021-05-22,2021,5,22,2021-05-23T07:31:23Z,36.1162,-119.6816,3839687,61830,NA,NA,6,9722.563572290022,63941224,NA,1.6093810887700206,84000006,USA,161826.4403903572,NA,NA,NA
Colorado,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,39.0598,-105.3111,548617,6663,NA,NA,8,9324.424665412687,8355146,NA,1.2110568766539596,84000008,USA,145086.45647239257,NA,NA,NA
Connecticut,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,41.5978,-72.7554,346325,8212,NA,NA,9,9713.804246334166,8378867,NA,2.371183137226593,84000009,USA,235012.4127454536,NA,NA,NA
Delaware,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,39.3185,-75.5071,108280,1659,NA,NA,10,11119.737431246174,1834114,NA,1.5321388991503508,84000010,USA,1.8835303009764173e-5,NA,NA,NA
Diamond Princess,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,38.8974,-77.0268,48727,1125,NA,NA,11,6904.296003253281,1594515,NA,2.308781579001375,84000011,USA,225932.30737840227,NA,NA,NA
Florida,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,27.7663,-81.6868,2308266,36463,NA,NA,12,10747.249582206916,29395272,NA,1.5796706272154075,84000012,USA,136863.91634276923,NA,NA,NA
Georgia,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,33.0406,-83.6431,1119614,20661,NA,NA,13,10545.063524359914,8653100,NA,1.8453681358039469,84000013,USA,81499.06055358255,NA,NA,NA
Grand Princess,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,13.4443,144.7937,8131,139,NA,NA,66,4951.013523799085,151133,NA,1.7095068257286927,316,GUM,92025.768895871,NA,NA,NA
Hawaii,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,21.0943,-157.4983,35819,494,NA,NA,15,2529.81907969082,1561802,NA,1.379156313688266,84000015,USA,110306.72264159472,NA,NA,NA
Idaho,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,44.2405,-114.4788,191068,2080,NA,NA,16,10691.720782400193,727414,NA,1.0886176649151087,84000016,USA,40704.395195474135,NA,NA,NA
Illinois,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,40.3495,-88.9861,1374565,24976,NA,NA,17,10847.41490587659,24124753,NA,1.81701119990688,84000017,USA,190381.1062356389,NA,NA,NA
Indiana,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,39.8494,-86.2583,739626,13553,NA,NA,18,10986.362743101494,10308003,NA,1.8324125977183063,84000018,USA,1.531144931559713e-5,NA,NA,NA
Iowa,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,42.0115,-93.2105,370519,6035,NA,NA,19,11743.606322522162,1458291,NA,1.6287963640191192,84000019,USA,46220.55929028517,NA,NA,NA
Kansas,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,38.5266,-96.7265,314482,5058,NA,NA,20,10794.648294004695,1405615,NA,1.6083591429716169,84000020,USA,48247.97464330999,NA,NA,NA
Kentucky,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,37.6681,-84.6701,455575,6705,NA,NA,21,10197.142897432288,5280973,NA,1.4717664489930309,84000021,USA,118204.1075969526,NA,NA,NA
Louisiana,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,31.1695,-91.8678,467815,10522,NA,NA,22,10063.147560421046,6750672,NA,2.249179697102487,84000022,USA,145213.4037343879,NA,NA,NA
Maine,US,2021-05-22,2021,5,22,2021-05-23T04:31:33Z,44.6939,-69.3819,66863,819,NA,NA,23,4974.140983713878,2224916,NA,1.2248926910249316,84000023,USA,165518.23670670995,NA,NA,NA
