Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,32.3182,-86.9023,844594,16115,NA,NA,1,17225.41572467692,NA,NA,1.9080173432442096,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,61.3707,-152.4044,150087,877,NA,NA,2,20516.44123054631,3502446,NA,0.5843277565678573,84000002,USA,478773.8279941767,NA,NA,NA
American Samoa,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,-14.271,-170.132,4,0,NA,NA,60,7.188943405043044,2140,NA,0,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,33.7298,-111.4312,1258919,22177,NA,NA,4,17295.891569901672,14489898,NA,1.7615906980512646,84000004,USA,199072.144170463,NA,NA,NA
Arkansas,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,34.9697,-92.3731,526706,8652,NA,NA,5,17453.287224750184,4215341,NA,1.642662130296598,84000005,USA,139682.3981941836,NA,NA,NA
California,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,36.1162,-119.6816,5054186,74091,NA,NA,6,12795.941650764626,109974133,NA,1.4661703284499228,84000006,USA,278329.39948734344,NA,NA,NA
Colorado,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,39.0598,-105.3111,841378,9869,NA,NA,8,14271.51722183479,13006504,NA,1.107245890110104,84000008,USA,225856.92415835697,NA,NA,NA
Connecticut,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,41.5978,-72.7554,418473,8865,NA,NA,9,11737.428150945492,11055352,NA,2.11841624190808,84000009,USA,310083.0872802105,NA,NA,NA
Delaware,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,39.3185,-75.5071,152165,2173,NA,NA,10,15626.476230380256,2541906,NA,1.4280550717970624,84000010,USA,2.610392251099856e-5,NA,NA,NA
Diamond Princess,US,2021-11-26,2021,11,26,2021-11-27T04:32:49Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
