FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,33.93911,67.709953,155448,7221,NA,NA,Afghanistan,399.3183269741703,4.645283310174463
NA,NA,NA,Albania,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,41.1533,20.1683,174168,2753,NA,NA,Albania,6052.123149628188,1.5806577557300996
NA,NA,NA,Algeria,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,28.0339,1.6596,204388,5846,NA,NA,Algeria,466.0960971897522,2.8602461984069514
NA,NA,NA,Andorra,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,42.5063,1.5218,15291,130,NA,NA,Andorra,19790.33197437391,0.8501733045582369
NA,NA,NA,Angola,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-11.2027,17.8739,61023,1613,NA,NA,Angola,185.67060914856532,2.6432656539337627
NA,NA,NA,Antigua and Barbuda,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,17.0608,-61.7964,3678,91,NA,NA,Antigua and Barbuda,3755.8206028919208,2.4741707449700923
NA,NA,NA,Argentina,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-38.4161,-63.6167,5265058,115444,NA,NA,Argentina,11649.446805616377,2.192644411514555
NA,NA,NA,Armenia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,40.0691,45.0382,269874,5499,NA,NA,Armenia,9107.414399267827,2.0376175548589344
NA,NA,Australian Capital Territory,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-35.4735,149.0124,1296,9,NA,NA,"Australian Capital Territory, Australia",302.7330063069376,0.6944444444444444
NA,NA,New South Wales,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-33.8688,151.2093,68246,479,NA,NA,"New South Wales, Australia",840.6750431140675,0.7018726372241597
NA,NA,Northern Territory,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-12.4634,130.8456,214,0,NA,NA,"Northern Territory, Australia",87.13355048859935,0
NA,NA,Queensland,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-27.4698,153.0251,2059,7,NA,NA,"Queensland, Australia",40.25021991985143,0.33997085964060225
NA,NA,South Australia,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-34.9285,138.6007,908,4,NA,NA,"South Australia, Australia",51.69370908055793,0.44052863436123346
NA,NA,Tasmania,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-42.8821,147.3272,236,13,NA,NA,"Tasmania, Australia",44.07096171802054,5.508474576271187
NA,NA,Victoria,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-37.8136,144.9631,51012,900,NA,NA,"Victoria, Australia",769.4233698849154,1.7642907551164433
NA,NA,Western Australia,Australia,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,-31.9505,115.8605,1110,9,NA,NA,"Western Australia, Australia",42.19569679920931,0.8108108108108109
NA,NA,NA,Austria,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,47.5162,14.5501,752280,13590,NA,NA,Austria,8412.628797299698,1.4628963605767644
NA,NA,NA,Azerbaijan,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,40.1431,47.5769,490130,6638,NA,NA,Azerbaijan,4834.022491968035,1.3543345642992677
NA,NA,NA,Bahamas,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,25.025885,-78.035889,21580,590,NA,NA,Bahamas,5487.631214907641,2.7340129749768303
NA,NA,NA,Bahrain,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,26.0275,50.55,275538,1390,NA,NA,Bahrain,16193.03907008944,0.5044676233405193
NA,NA,NA,Bangladesh,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,23.685,90.3563,1561463,27654,NA,NA,Bangladesh,948.1260853348392,1.7710313981183032
NA,NA,NA,Barbados,2021-10-08,2021,10,8,2021-10-09T04:21:34Z,13.1939,-59.5432,10383,88,NA,NA,Barbados,3613.0994428804574,0.8475392468458056
