FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,33.93911,67.709953,153260,7123,NA,NA,Afghanistan,393.6977432457242,4.64765757536213
NA,NA,NA,Albania,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,41.1533,20.1683,147369,2501,NA,NA,Albania,5120.890958370977,1.6971004756767027
NA,NA,NA,Algeria,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,28.0339,1.6596,196527,5302,NA,NA,Algeria,448.16949963995154,2.697848132826533
NA,NA,NA,Andorra,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,42.5063,1.5218,15046,130,NA,NA,Andorra,19473.241441791237,0.8640170144889007
NA,NA,NA,Angola,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-11.2027,17.8739,47781,1227,NA,NA,Angola,145.38005957962736,2.5679663464557043
NA,NA,NA,Antigua and Barbuda,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,17.0608,-61.7964,1719,44,NA,NA,Antigua and Barbuda,1755.3712931950004,2.559627690517743
NA,NA,NA,Argentina,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-38.4161,-63.6167,5190948,112005,NA,NA,Argentina,11485.471308525131,2.1576983626112223
NA,NA,NA,Armenia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,40.0691,45.0382,242750,4857,NA,NA,Armenia,8192.06313102509,2.0008238928939237
NA,NA,Australian Capital Territory,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-35.4735,149.0124,433,3,NA,NA,"Australian Capital Territory, Australia",101.14459238495678,0.6928406466512702
NA,NA,New South Wales,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-33.8688,151.2093,29390,161,NA,NA,"New South Wales, Australia",362.0349839862035,0.5478053759782239
NA,NA,Northern Territory,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-12.4634,130.8456,202,0,NA,NA,"Northern Territory, Australia",82.24755700325733,0
NA,NA,Queensland,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-27.4698,153.0251,1982,7,NA,NA,"Queensland, Australia",38.74499071449516,0.35317860746720486
NA,NA,South Australia,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-34.9285,138.6007,871,4,NA,NA,"South Australia, Australia",49.58724736692286,0.4592422502870264
NA,NA,Tasmania,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-42.8821,147.3272,235,13,NA,NA,"Tasmania, Australia",43.88422035480859,5.531914893617022
NA,NA,Victoria,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-37.8136,144.9631,22361,822,NA,NA,"Victoria, Australia",337.27507202220244,3.676043110773221
NA,NA,Western Australia,Australia,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,-31.9505,115.8605,1086,9,NA,NA,"Western Australia, Australia",41.28335740895613,0.8287292817679558
NA,NA,NA,Austria,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,47.5162,14.5501,683900,13230,NA,NA,Austria,7662.917480902469,1.561248013121728
NA,NA,NA,Azerbaijan,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,40.1431,47.5769,428736,5677,NA,NA,Azerbaijan,4228.509716027192,1.3241248693834902
NA,NA,NA,Bahamas,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,25.025885,-78.035889,18139,381,NA,NA,Bahamas,4612.610871511108,2.1004465516290867
NA,NA,NA,Bahrain,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,26.0275,50.55,272635,1388,NA,NA,Bahrain,16022.433228352658,0.5091055807214774
NA,NA,NA,Bangladesh,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,23.685,90.3563,1503680,26274,NA,NA,Bangladesh,913.0400348879806,1.7473132581400297
NA,NA,NA,Barbados,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,13.1939,-59.5432,5072,51,NA,NA,Barbados,1764.9658455446097,1.0055205047318612
NA,NA,NA,Belarus,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,53.7098,27.9534,483231,3791,NA,NA,Belarus,5113.923000393362,0.7845109274860264
NA,NA,Antwerp,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,51.2195,4.4024,156944,0,NA,NA,"Antwerp, Belgium",8393.939231867704,0
NA,NA,Brussels,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.8503,4.3517,154264,0,NA,NA,"Brussels, Belgium",12662.701979470636,0
NA,NA,East Flanders,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,51.0362,3.7373,136070,0,NA,NA,"East Flanders, Belgium",8921.131220681133,0
NA,NA,Flemish Brabant,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.9167,4.5833,93944,0,NA,NA,"Flemish Brabant, Belgium",8127.74745359015,0
NA,NA,Hainaut,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.5257,4.0621,168660,0,NA,NA,"Hainaut, Belgium",12522.64560007128,0
NA,NA,Liege,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.4496,5.8492,139868,0,NA,NA,"Liege, Belgium",12602.991530005407,0
NA,NA,Limburg,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.9739,5.3420000000000005,66965,0,NA,NA,"Limburg, Belgium",7632.469767600898,0
NA,NA,Luxembourg,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.0547,5.4677,33076,0,NA,NA,"Luxembourg, Belgium",11534.705947996876,0
NA,NA,Namur,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.331,4.8221,62128,0,NA,NA,"Namur, Belgium",12530.050500976136,0
NA,NA,Unknown,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,NA,NA,23295,25382,NA,NA,"Unknown, Belgium",NA,108.95900407812836
NA,NA,Walloon Brabant,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,50.4,4.35,45817,0,NA,NA,"Walloon Brabant, Belgium",11284.447279560807,0
NA,NA,West Flanders,Belgium,2021-09-01,2021,9,1,2021-09-02T04:21:15Z,51.0536,3.1458,106475,0,NA,NA,"West Flanders, Belgium",8865.93474305651,0
