Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,32.3182,-86.9023,775531,13460,NA,NA,1,15816.882291816442,NA,NA,1.7355850378643791,84000001,USA,NA,NA,NA,NA
Alaska,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,61.3707,-152.4044,103327,480,NA,NA,2,14124.489949353763,2953017,NA,0.4645446011207138,84000002,USA,403668.5371371549,NA,NA,NA
American Samoa,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,33.7298,-111.4312,1070757,19584,NA,NA,4,14710.793124667438,12446067,NA,1.8289864086809613,84000004,USA,170992.59388708198,NA,NA,NA
Arkansas,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,34.9697,-92.3731,486853,7499,NA,NA,5,16132.691188692175,3834738,NA,1.5403006657040217,84000005,USA,127070.479063584,NA,NA,NA
California,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,36.1162,-119.6816,4674526,67911,NA,NA,6,11835.330044578865,89332249,NA,1.4502388802331363,84000006,USA,226087.6311616281,NA,NA,NA
Colorado,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,39.0598,-105.3111,666966,7797,NA,NA,8,11378.2607850056,10819192,NA,1.1336235051370176,84000008,USA,187874.4224427027,NA,NA,NA
Connecticut,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,41.5978,-72.7554,386182,8477,NA,NA,9,10831.722663561166,9848850,NA,2.195079004200092,84000009,USA,276242.8382343413,NA,NA,NA
Delaware,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,39.3185,-75.5071,128964,1927,NA,NA,10,13243.866070218246,2185906,NA,1.494215439967743,84000010,USA,2.2448005882328776e-5,NA,NA,NA
Diamond Princess,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,38.8974,-77.0268,59712,1171,NA,NA,11,8460.79838582839,1970517,NA,1.9610798499464093,84000011,USA,279209.32229447016,NA,NA,NA
Florida,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,27.7663,-81.6868,3528698,51889,NA,NA,12,16429.561457056672,39043661,NA,1.470485714561008,84000012,USA,181786.6612297189,NA,NA,NA
Georgia,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,33.0406,-83.6431,1543960,24951,NA,NA,13,14541.758390901448,11232551,NA,1.6160392756289024,84000013,USA,105793.57156628306,NA,NA,NA
Grand Princess,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,13.4443,144.7937,13859,181,NA,NA,66,8438.82627306992,220385,NA,1.3060105346706112,316,GUM,134193.7173093668,NA,NA,NA
Hawaii,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,21.0943,-157.4983,76191,714,NA,NA,15,5381.206775753741,2296470,NA,0.9371185573099184,84000015,USA,162194.7464177553,NA,NA,NA
Idaho,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,44.2405,-114.4788,245395,2662,NA,NA,16,13731.733316919082,933774,NA,1.084781678518307,84000016,USA,52251.82072280527,NA,NA,NA
Illinois,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,40.3495,-88.9861,1601764,27297,NA,NA,17,12640.322176268117,30720108,NA,1.6915153902678244,84000017,USA,242428.51915285105,NA,NA,NA
Indiana,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,39.8494,-86.2583,938169,15239,NA,NA,18,13935.509228086608,13204869,NA,1.624334208442189,84000018,USA,1.9614437676492697e-5,NA,NA,NA
Iowa,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,42.0115,-93.2105,437872,6401,NA,NA,19,13878.360860456343,1620048,NA,1.4618427302956114,84000019,USA,51347.45029428824,NA,NA,NA
Kansas,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,38.5266,-96.7265,400314,5919,NA,NA,20,13740.846335135862,1710634,NA,1.478589307393696,84000020,USA,58717.80384812622,NA,NA,NA
Kentucky,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,37.6681,-84.6701,661586,8370,NA,NA,21,14808.290579905915,6690091,NA,1.2651416444725252,84000021,USA,149744.4195221987,NA,NA,NA
Louisiana,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,31.1695,-91.8678,730099,13558,NA,NA,22,15705.126964111552,8940276,NA,1.857008433102908,84000022,USA,192313.87753468964,NA,NA,NA
Maine,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,44.6939,-69.3819,84542,1002,NA,NA,23,6289.335313179767,2674755,NA,1.185209718246552,84000023,USA,198983.1217099684,NA,NA,NA
Maryland,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,39.0639,-76.8021,521210,10309,NA,NA,24,8621.197284672691,12670596,NA,1.977897584466913,84000024,USA,2.095809900623255e-5,NA,NA,NA
Massachusetts,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,42.2302,-71.5301,796925,14999,NA,NA,25,11562.200263097457,27841784,NA,2.3189133230856105,84000025,USA,4.039430088024626e-5,NA,NA,NA
Michigan,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,43.3266,-84.5361,1117846,22034,NA,NA,26,11193.1711848883,15901552,NA,1.9711122999053536,84000026,USA,1.5922478914036718e-5,NA,NA,NA
Minnesota,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,45.6945,-93.9002,690391,8104,NA,NA,27,12241.773931348713,10845849,NA,1.1738275846585486,84000027,USA,192314.835436071,NA,NA,NA
Mississippi,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,32.7416,-89.6787,477769,9331,NA,NA,28,16053.26211826088,2388516,NA,1.95303588135689,84000028,USA,80255.25603724814,NA,NA,NA
Missouri,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,38.4561,-92.2884,809769,11747,NA,NA,29,13193.947041008058,6896446,NA,1.4506606204979444,84000029,USA,112367.03713672892,NA,NA,NA
Montana,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,46.9219,-110.4544,142513,1901,NA,NA,30,13334.200367148276,1777974,NA,1.3339133973742747,84000030,USA,166355.78202395633,NA,NA,NA
Nebraska,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,41.1254,-98.2681,260199,2379,NA,NA,31,13451.09201368067,3587457,NA,0.9143002086864284,84000031,USA,185455.03327116105,NA,NA,NA
Nevada,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,38.3135,-117.0554,413547,6918,NA,NA,32,13426.170622526912,4274309,NA,1.6728449245188577,84000032,USA,138769.23766198856,NA,NA,NA
New Hampshire,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,43.4525,-71.5639,115612,1462,NA,NA,33,8502.689174390734,2398672,NA,1.2645746116320105,84000033,USA,176410.428392504,NA,NA,NA
New Jersey,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,40.2989,-74.521,1137016,27240,NA,NA,34,12801.077211813754,15431955,NA,2.395744650910805,84000034,USA,173740.42888071525,NA,NA,NA
New Mexico,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,34.8405,-106.2485,246639,4700,NA,NA,35,11762.475623906384,4420662,NA,1.905619143768828,84000035,USA,210826.06163878887,NA,NA,NA
New York,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,42.1657,-74.9481,2382450,54983,NA,NA,36,12246.858043110977,68598737,NA,2.307834372179899,84000036,USA,352628.1743481309,NA,NA,NA
North Carolina,US,2021-09-21,2021,9,21,2021-09-22T04:32:02Z,35.6301,-79.8064,1350697,15811,NA,NA,37,12878.3960921747,17205478,NA,1.170580818644004,84000037,USA,1.6404786613074418e-5,NA,NA,NA
