Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,32.3182,-86.9023,1147194,16826,NA,NA,1,23396.91445458411,NA,NA,1.4667092052434023,84000001,USA,NA,NA,NA,NA
Alaska,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,61.3707,-152.4044,195345,1051,NA,NA,2,26703.073631833995,3741734,NA,0.5380224730604828,84000002,USA,511483.7774846387,NA,NA,NA
American Samoa,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,-14.271,-170.132,18,0,NA,NA,60,32.350245322693695,2140,NA,0,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,33.7298,-111.4312,1752552,25623,NA,NA,4,24077.759857952988,16952612,NA,1.4620393574627173,84000004,USA,232906.5960388349,NA,NA,NA
Arkansas,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,34.9697,-92.3731,738638,9510,NA,NA,5,24476.009707721245,4742877,NA,1.2875048399892777,84000005,USA,157163.18886183464,NA,NA,NA
California,US,2022-01-23,2022,1,23,2022-01-24T07:31:18Z,36.1162,-119.6816,7862624,78577,NA,NA,6,19895.256209705032,131160392,NA,1.000068947462288,84000006,USA,331948.9060385188,NA,NA,NA
Colorado,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,39.0598,-105.3111,1321902,11798,NA,NA,8,20592.487657013626,15470441,NA,0.9106417498758292,84000008,USA,268642.9973521967,NA,NA,NA
Connecticut,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,41.5978,-72.7554,671674,9769,NA,NA,9,18839.26876013067,12580393,NA,1.4544258077579302,84000009,USA,352857.7923740782,NA,NA,NA
Delaware,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,39.3185,-75.5071,240179,2480,NA,NA,10,24665.011234755035,2980934,NA,1.0325632132701028,84000010,USA,3.0612489268446976e-5,NA,NA,NA
Diamond Princess,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,38.8974,-77.0268,127200,1267,NA,NA,11,18023.404921579768,2834902,NA,0.9960691823899372,84000011,USA,401687.0020361347,NA,NA,NA
Florida,US,2022-01-23,2022,1,23,2022-01-24T04:31:59Z,27.7663,-81.6868,5324438,63763,NA,NA,12,24790.49817958009,50597878,NA,1.1975536197435297,84000012,USA,235582.9108066646,NA,NA,NA
