Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,32.3182,-86.9023,1373684,19786,NA,NA,1,28016.15684498953,NA,NA,1.4403603740015898,84000001,USA,NA,NA,NA,NA
Alaska,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,61.3707,-152.4044,275322,1285,NA,NA,2,37635.68885030996,NA,NA,0.4667262332832102,84000002,USA,NA,NA,NA,NA
American Samoa,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,-14.271,-170.132,6505,31,NA,NA,60,11691.01921245125,NA,NA,0.4765564950038432,16,ASM,NA,NA,NA,NA
Arizona,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,33.7298,-111.4312,2145765,30572,NA,NA,4,29479.98939923066,20059804,NA,1.424759934102756,84000004,USA,275595.3281326915,NA,NA,NA
Arkansas,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,34.9697,-92.3731,875200,11608,NA,NA,5,29001.220755224665,5290551,NA,1.3263254113345522,84000005,USA,175311.28595495268,NA,NA,NA
California,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,36.1162,-119.6816,10273577,92629,NA,NA,6,26002.963690501543,175887769,NA,0.9015559039312367,84000006,USA,445147.7432692157,NA,NA,NA
Colorado,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,39.0598,-105.3111,1567886,12966,NA,NA,8,26998.77195273407,19037265,NA,0.82577174508679,84000008,USA,330580.6169965076,NA,NA,NA
Connecticut,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,41.5978,-72.7554,836466,11055,NA,NA,9,23461.393150116663,14648536,NA,1.321631722030543,84000009,USA,410865.5488323941,NA,NA,NA
Delaware,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,39.3185,-75.5071,287078,2998,NA,NA,10,29481.27061587818,3432793,NA,1.044315482203443,84000010,USA,3.525282306595849e-5,NA,NA,NA
Diamond Princess,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,38.8974,-77.0268,158281,1352,NA,NA,11,22427.37857226861,NA,NA,0.8541770648403788,84000011,USA,NA,NA,NA,NA
Florida,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,27.7663,-81.6868,6561833,76193,NA,NA,12,30551.78951115753,60346805,NA,1.1611542079781672,84000012,USA,280973.7590138104,NA,NA,NA
Georgia,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,33.0406,-83.6431,2667557,38685,NA,NA,13,25124.33572628688,18966993,NA,1.450203313368749,84000013,USA,178640.26892401293,NA,NA,NA
Grand Princess,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,13.4443,144.7937,52823,371,NA,NA,66,32164.23408776769,442209,NA,0.7023455691649471,316,GUM,269263.65014705074,NA,NA,NA
Hawaii,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,21.0943,-157.4983,313076,1524,NA,NA,15,22111.885820187137,4107753,NA,0.4867827620130575,84000015,USA,290121.77654477244,NA,NA,NA
Idaho,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.2405,-114.4788,467770,4993,NA,NA,16,26175.32098720528,1247510,NA,1.067404921221968,84000016,USA,69807.75741229334,NA,NA,NA
Illinois,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,40.3495,-88.9861,3462948,38660,NA,NA,17,27327.94284262696,NA,NA,1.116389850497322,84000017,USA,NA,NA,NA,NA
Indiana,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,39.8494,-86.2583,1787059,23948,NA,NA,18,26544.87324313128,20319890,NA,1.3400788670099868,84000018,USA,3.0183049600733428e-5,NA,NA,NA
Iowa,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,42.0115,-93.2105,800648,9703,NA,NA,19,25376.552659687422,NA,NA,1.2118933663732376,84000019,USA,NA,NA,NA,NA
Kansas,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,38.5266,-96.7265,813020,8961,NA,NA,20,27907.05018408589,NA,NA,1.1021869080711422,84000020,USA,NA,NA,NA,NA
Kentucky,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,37.6681,-84.6701,1414766,16216,NA,NA,21,31666.731204365224,NA,NA,1.146196614846554,84000021,USA,NA,NA,NA,NA
Louisiana,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,31.1695,-91.8678,1326364,17431,NA,NA,22,28531.3567346714,14015273,NA,1.3141942935725035,84000022,USA,301481.91122256656,NA,NA,NA
Maine,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.6939,-69.3819,271394,2461,NA,NA,23,20189.821248434026,4388444,NA,0.9067997081733568,84000023,USA,326469.63425412064,NA,NA,NA
Maryland,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,39.0639,-76.8021,1145444,14835,NA,NA,24,18946.487409191355,21968720,NA,1.2951309710470351,84000024,USA,3.633788093316219e-5,NA,NA,NA
Massachusetts,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,42.2302,-71.5301,1936447,21035,NA,NA,25,28094.97507654331,46164836,NA,1.0862677883773737,84000025,USA,6.697833283496576e-5,NA,NA,NA
Michigan,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,43.3266,-84.5361,2619533,36982,NA,NA,26,26229.803831175315,25250180,NA,1.4117783589670372,84000026,USA,2.5283409985744263e-5,NA,NA,NA
Minnesota,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,45.6945,-93.9002,1561487,13161,NA,NA,27,27687.746292665903,NA,NA,0.842850436795183,84000027,USA,NA,NA,NA,NA
Mississippi,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,32.7416,-89.6787,845205,12545,NA,NA,28,28399.28377241865,NA,NA,1.4842552990102993,84000028,USA,NA,NA,NA,NA
Missouri,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,38.4561,-92.2884,1529886,20992,NA,NA,29,24927.151894898,NA,NA,1.372128380807459,84000029,USA,NA,NA,NA,NA
Montana,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,46.9219,-110.4544,289345,3450,NA,NA,30,27072.50710624657,2958184,NA,1.1923482348062002,84000030,USA,276781.8948369072,NA,NA,NA
Nebraska,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,41.1254,-98.2681,504109,4345,NA,NA,31,26022.948623041266,NA,NA,0.8629492043942073,84000031,USA,NA,NA,NA,NA
Nevada,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,38.3135,-117.0554,782040,11074,NA,NA,32,25156.031058167184,NA,NA,1.4291890636191755,84000032,USA,NA,NA,NA,NA
New Hampshire,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,43.4525,-71.5639,333789,2602,NA,NA,33,24548.52538517376,NA,NA,0.7795343765073145,84000033,USA,NA,NA,NA,NA
New Jersey,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,40.2989,-74.521,2514115,34099,NA,NA,34,28305.12519997884,30239191,NA,1.3563023171175543,84000034,USA,340447.4684734283,NA,NA,NA
New Mexico,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,34.8405,-106.2485,570866,7963,NA,NA,35,27225.205298095363,7478725,NA,1.394898277354055,84000035,USA,356668.3310846998,NA,NA,NA
New York,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,42.1657,-74.9481,5661360,69799,NA,NA,36,29101.9212369396,114295187,NA,1.2329016349428406,84000036,USA,587528.3553484115,NA,NA,NA
North Carolina,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,35.6301,-79.8064,2892680,25257,NA,NA,37,27580.63341216565,28812252,NA,0.8731349475227125,84000037,USA,2.747141613282273e-5,NA,NA,NA
North Dakota,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,47.5289,-99.784,252057,2296,NA,NA,38,33051.90391332989,NA,NA,0.9115596563388334,84000038,USA,NA,NA,NA,NA
Northern Mariana Islands,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,15.0979,145.6739,11829,35,NA,NA,69,21451.109821558104,NA,NA,0.295882999408234,580,MNP,NA,NA,NA,NA
Ohio,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,40.3888,-82.7649,2867291,39044,NA,NA,39,24529.61305831929,30325477,NA,1.357378794130069,84000039,USA,2.594338058533164e-5,NA,NA,NA
Oklahoma,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,35.5653,-96.9289,1084914,16159,NA,NA,40,27417.79002171105,NA,NA,1.4894268117104212,84000040,USA,NA,NA,NA,NA
Oregon,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.572,-122.0709,823247,7851,NA,NA,41,19518.689761832,11999720,NA,0.9536627524910508,84000041,USA,284506.12259607465,NA,NA,NA
Pennsylvania,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,40.5908,-77.2098,3018129,45821,NA,NA,42,23575.4694055744,26568439,NA,1.5181922310146452,84000042,USA,207533.68089911653,NA,NA,NA
Puerto Rico,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,18.2208,-66.5901,796491,4615,NA,NA,72,24939.49013274284,4435889,NA,0.5794164654716751,630,PRI,138895.2416856468,NA,NA,NA
Rhode Island,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,41.6809,-71.5118,404604,3615,NA,NA,44,38193.21270086401,8201385,NA,0.8934662039920515,84000044,USA,774182.2664795098,NA,NA,NA
South Carolina,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,33.8569,-80.945,1560139,18043,NA,NA,45,30301.527721291182,12808249,NA,1.1564995170302133,84000045,USA,248765.9831173377,NA,NA,NA
South Dakota,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.2998,-99.4388,245705,2940,NA,NA,46,27773.97844819304,1351411,NA,1.1965568466250178,84000046,USA,1.527606682348792e-5,NA,NA,NA
Tennessee,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,35.7478,-86.6923,2145120,26765,NA,NA,47,31330.65580112617,13332773,NA,1.2510136121983992,84000047,USA,195232.5859613476,NA,NA,NA
Texas,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,31.0545,-97.5635,7274855,88837,NA,NA,48,25089.27043810119,50472302,NA,1.2211377408896809,84000048,USA,174067.14422645065,NA,NA,NA
Utah,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,40.15,-111.8624,989767,4847,NA,NA,49,30872.73757173363,6279358,NA,0.4897112148616795,84000049,USA,195865.26086742248,NA,NA,NA
Vermont,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.0459,-72.7107,136145,687,NA,NA,50,21818.49359523966,3738115,NA,0.5046090565206214,84000050,USA,599067.4515095619,NA,NA,NA
Virgin Islands,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,18.3358,-64.8963,21103,119,NA,NA,78,19673.155088190328,440826,NA,0.5639008671752831,850,VIR,410957.60152142297,NA,NA,NA
Virginia,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,37.7693,-78.17,1890973,20740,NA,NA,51,22154.16543504853,14256775,NA,1.0967898536890797,84000051,USA,167028.8004748159,NA,NA,NA
Washington,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,47.4009,-121.4905,1684668,13344,NA,NA,53,22123.331214240305,NA,NA,0.7920848499526316,84000053,USA,NA,NA,NA,NA
West Virginia,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,38.4912,-80.9545,537443,7069,NA,NA,54,29988.77882227295,6535190,NA,1.315302273915559,84000054,USA,364657.0286924008,NA,NA,NA
Wisconsin,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,44.2685,-89.6165,1738219,14836,NA,NA,55,29853.82058431233,17041021,NA,0.8535173070827093,84000055,USA,2.9267864607825527e-5,NA,NA,NA
Wyoming,US,2022-07-08,2022,7,8,2022-07-09T04:31:53Z,42.756,-107.3025,165619,1834,NA,NA,56,28616.228862099768,1454012,NA,1.1073608704315323,84000056,USA,251229.26814097053,NA,NA,NA
