FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,33.93911,67.709953,177716,7667,NA,NA,Afghanistan,456.5208674060885,4.314186679871256
NA,NA,NA,Albania,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,41.1533,20.1683,273608,3492,NA,NA,Albania,9507.540482312876,1.2762784713897255
NA,NA,NA,Algeria,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,28.0339,1.6596,265662,6874,NA,NA,Algeria,605.8282353740137,2.5874984002228394
NA,NA,NA,Andorra,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,42.5063,1.5218,40024,153,NA,NA,Andorra,51800.944800362384,0.3822706376174295
NA,NA,NA,Angola,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-11.2027,17.8739,99138,1900,NA,NA,Angola,301.6405756808166,1.916520405898848
NA,NA,NA,Antarctica,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-71.9499,23.347,11,0,NA,NA,Antarctica,NA,0
NA,NA,NA,Antigua and Barbuda,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,17.0608,-61.7964,7491,135,NA,NA,Antigua and Barbuda,7649.49759006617,1.802162595114137
NA,NA,NA,Argentina,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-38.4161,-63.6167,9035127,127997,NA,NA,Argentina,19991.086777864224,1.4166596662116648
NA,NA,NA,Armenia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,40.0691,45.0382,422498,8611,NA,NA,Armenia,14258.003249152784,2.038116156762872
NA,NA,Australian Capital Territory,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-35.4735,149.0124,77714,41,NA,NA,"Australian Capital Territory, Australia",18153.235225414624,0.05275754690274596
NA,NA,New South Wales,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-33.8688,151.2093,1817625,2098,NA,NA,"New South Wales, Australia",22390.05912786401,0.11542534901313528
NA,NA,Northern Territory,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-12.4634,130.8456,49400,34,NA,NA,"Northern Territory, Australia",20114.00651465798,0.06882591093117409
NA,NA,Queensland,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-27.4698,153.0251,765308,737,NA,NA,"Queensland, Australia",14960.57081419216,0.09630109707464184
NA,NA,South Australia,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-34.9285,138.6007,251561,259,NA,NA,"South Australia, Australia",14321.719328209509,0.10295713564503242
NA,NA,Tasmania,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-42.8821,147.3272,89244,31,NA,NA,"Tasmania, Australia",16665.546218487394,0.03473622876607951
NA,NA,Victoria,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-37.8136,144.9631,1282623,2743,NA,NA,"Victoria, Australia",19346.03840178585,0.21385863188169868
NA,NA,Western Australia,Australia,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,-31.9505,115.8605,174206,50,NA,NA,"Western Australia, Australia",6622.291492435185,0.02870165206709298
NA,NA,NA,Austria,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,47.5162,14.5501,3807856,18914,NA,NA,Austria,42249.45594244093,0.415541548241793
NA,NA,NA,Azerbaijan,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,40.1431,47.5769,791876,9691,NA,NA,Azerbaijan,7810.063442045334,1.2238027165869405
NA,NA,NA,Bahamas,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,25.025885,-78.035889,33258,788,NA,NA,Bahamas,8457.258523883147,2.3693547417162786
NA,NA,NA,Bahrain,2022-03-30,2022,3,30,2022-03-31T04:20:56Z,26.0275,50.55,553750,1470,NA,NA,Bahrain,32543.22592550584,0.2654627539503386
