Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,32.3182,-86.9023,1290692,18998,NA,NA,1,26323.542758431508,NA,NA,1.4719235882766764,84000001,USA,NA,NA,NA,NA
Alaska,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,61.3707,-152.4044,244386,1202,NA,NA,2,33406.83074862107,4066654,NA,0.4918448683639816,84000002,USA,555899.3636755086,NA,NA,NA
American Samoa,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,-14.271,-170.132,779,0,NA,NA,60,1400.0467281321328,2140,NA,0,16,ASM,3846.084721698028,NA,NA,NA
Arizona,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,33.7298,-111.4312,1992471,28547,NA,NA,4,27373.93142225477,18577223,NA,1.4327435631434535,84000004,USA,255226.61480038307,NA,NA,NA
Arkansas,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,34.9697,-92.3731,828166,11030,NA,NA,5,27442.670233056884,5016157,NA,1.3318585887370409,84000005,USA,166218.7802786397,NA,NA,NA
California,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,36.1162,-119.6816,9058067,87823,NA,NA,6,22919.42166858089,151662520,NA,0.970497593135492,84000006,USA,383836.9711570012,NA,NA,NA
Colorado,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,39.0598,-105.3111,1416532,12441,NA,NA,8,23110.12347153959,16883233,NA,0.8931878925589717,84000008,USA,293176.019876584,NA,NA,NA
Connecticut,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,41.5978,-72.7554,731532,10677,NA,NA,9,20518.17988285375,13490353,NA,1.4595397057134891,84000009,USA,378380.56235024,NA,NA,NA
Delaware,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,39.3185,-75.5071,258428,2812,NA,NA,10,26539.079284097585,3185201,NA,1.0881173866608882,84000010,USA,3.2710194667291046e-5,NA,NA,NA
Diamond Princess,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,NA
District of Columbia,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,38.8974,-77.0268,135681,1327,NA,NA,11,19075.195288976684,NA,NA,0.9797731442621246,84000011,USA,NA,NA,NA,NA
Florida,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,27.7663,-81.6868,5868263,72443,NA,NA,12,27322.538682729937,55104574,NA,1.2344879566577027,84000012,USA,256566.0153115759,NA,NA,NA
Georgia,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,33.0406,-83.6431,2481419,36444,NA,NA,13,23371.19845371141,17045190,NA,1.4686757859112065,84000013,USA,160539.80330255278,NA,NA,NA
Grand Princess,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,13.4443,144.7937,46650,341,NA,NA,66,28405.458232102737,369449,NA,0.7309753483386924,316,GUM,224959.6599869694,NA,NA,NA
Hawaii,US,2022-03-17,2022,3,17,2022-03-18T04:31:31Z,21.0943,-157.4983,238764,1368,NA,NA,15,16863.38878090675,3680142,NA,0.5729506960848371,84000015,USA,259920.5295393933,NA,NA,NA
