FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,33.93911,67.709953,178981,7684,NA,NA,Afghanistan,459.7704279255055,4.293193132231913
NA,NA,NA,Albania,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,41.1533,20.1683,275366,3497,NA,NA,Albania,9568.628813677116,1.2699461807194787
NA,NA,NA,Algeria,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,28.0339,1.6596,265798,6875,NA,NA,Algeria,606.1383762297285,2.58655068886899
NA,NA,NA,Andorra,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,42.5063,1.5218,41717,153,NA,NA,Andorra,53992.10509286223,0.366756957595225
NA,NA,NA,Angola,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-11.2027,17.8739,99287,1900,NA,NA,Angola,302.0939280358817,1.9136442837430885
NA,NA,NA,Antarctica,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-71.9499,23.347,11,0,NA,NA,Antarctica,NA,0
NA,NA,NA,Antigua and Barbuda,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,17.0608,-61.7964,7663,137,NA,NA,Antigua and Barbuda,7825.13683522588,1.787811562051416
NA,NA,NA,Argentina,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-38.4161,-63.6167,9101319,128729,NA,NA,Argentina,20137.54293902282,1.4143993854077634
NA,NA,NA,Armenia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,40.0691,45.0382,422877,8622,NA,NA,Armenia,14270.793329180213,2.038890741279379
NA,NA,Australian Capital Territory,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-35.4735,149.0124,112407,55,NA,NA,"Australian Capital Territory, Australia",26257.18290119131,0.04892933714092538
NA,NA,New South Wales,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-33.8688,151.2093,2373235,2879,NA,NA,"New South Wales, Australia",29234.232569598425,0.12131120601204684
NA,NA,Northern Territory,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-12.4634,130.8456,66083,45,NA,NA,"Northern Territory, Australia",26906.75895765472,0.06809618207405838
NA,NA,Queensland,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-27.4698,153.0251,1046200,905,NA,NA,"Queensland, Australia",20451.568761606883,0.08650353660867903
NA,NA,South Australia,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-34.9285,138.6007,436318,375,NA,NA,"South Australia, Australia",24840.193566752063,0.08594648857026298
NA,NA,Tasmania,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-42.8821,147.3272,144107,59,NA,NA,"Tasmania, Australia",26910.73762838469,0.0409418001901365
NA,NA,Victoria,Australia,2022-05-08,2022,5,8,2022-05-09T04:20:54Z,-37.8136,144.9631,1647028,3034,NA,NA,"Victoria, Australia",24841.59640416899,0.18421059022675995
