FIPS,Admin2,Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
NA,NA,NA,Afghanistan,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,33.93911,67.709953,203497,7825,NA,NA,Afghanistan,522.7476814385694,3.845265532170007
NA,NA,NA,Albania,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,41.1533,20.1683,333027,3593,NA,NA,Albania,11572.277434151089,1.0788915012896851
NA,NA,NA,Algeria,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,28.0339,1.6596,270856,6881,NA,NA,Algeria,617.6728795253513,2.540464305756565
NA,NA,NA,Andorra,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,42.5063,1.5218,46588,155,NA,NA,Andorra,60296.382579434416,0.33270370052374004
NA,NA,NA,Angola,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-11.2027,17.8739,103131,1917,NA,NA,Angola,313.78981026990954,1.858800942490619
NA,NA,NA,Antarctica,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-71.9499,23.347,11,0,NA,NA,Antarctica,NA,0
NA,NA,NA,Antigua and Barbuda,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,17.0608,-61.7964,9106,146,NA,NA,Antigua and Barbuda,9298.668409443671,1.6033384581594552
NA,NA,NA,Argentina,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-38.4161,-63.6167,9718875,129991,NA,NA,Argentina,21503.944937156408,1.3375107715656391
NA,NA,NA,Armenia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,40.0691,45.0382,445242,8709,NA,NA,Armenia,15025.543038450558,1.956014931205951
NA,NA,Australian Capital Territory,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-35.4735,149.0124,209414,128,NA,NA,"Australian Capital Territory, Australia",48917.07544966129,0.06112294306970881
NA,NA,New South Wales,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-33.8688,151.2093,3561735,5454,NA,NA,"New South Wales, Australia",43874.53806356245,0.15312761898344487
NA,NA,Northern Territory,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-12.4634,130.8456,98763,77,NA,NA,"Northern Territory, Australia",40212.94788273616,0.0779644198738394
NA,NA,Queensland,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-27.4698,153.0251,1668438,2288,NA,NA,"Queensland, Australia",32615.34551852214,0.13713425371515153
NA,NA,South Australia,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-34.9285,138.6007,784599,1061,NA,NA,"South Australia, Australia",44668.317677198975,0.13522831408146072
NA,NA,Tasmania,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-42.8821,147.3272,253950,198,NA,NA,"Tasmania, Australia",47422.96918767507,0.07796810395747195
NA,NA,Victoria,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-37.8136,144.9631,2658734,5866,NA,NA,"Victoria, Australia",40102.17348677959,0.2206313230281781
NA,NA,Western Australia,Australia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-31.9505,115.8605,1181640,714,NA,NA,"Western Australia, Australia",44919.02987911504,0.0604244947699807
NA,NA,NA,Austria,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,47.5162,14.5501,5458604,21029,NA,NA,Austria,60608.05649316042,0.38524501868976024
NA,NA,NA,Azerbaijan,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,40.1431,47.5769,823469,9953,NA,NA,Azerbaijan,8121.656840916544,1.208667235803655
NA,NA,NA,Bahamas,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,25.025885,-78.035889,37386,833,NA,NA,Bahamas,9506.977785010986,2.2281067779382657
NA,NA,NA,Bahrain,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,26.0275,50.55,691300,1529,NA,NA,Bahrain,40626.87509219357,0.22117749168233763
NA,NA,NA,Bangladesh,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,23.685,90.3563,2035745,29425,NA,NA,Bangladesh,1236.1118627786711,1.445416788448455
NA,NA,NA,Barbados,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,13.1939,-59.5432,103424,560,NA,NA,Barbados,35989.71364542699,0.5414603960396039
NA,NA,NA,Belarus,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,53.7098,27.9534,994037,7118,NA,NA,Belarus,10519.665910386577,0.7160699249625517
NA,NA,Antwerp,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,51.2195,4.4024,744591,0,NA,NA,"Antwerp, Belgium",40075.167412456285,0
NA,NA,Brussels,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.8503,4.3517,495794,0,NA,NA,"Brussels, Belgium",41024.14314107412,0
NA,NA,East Flanders,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,51.0362,3.7373,625178,0,NA,NA,"East Flanders, Belgium",41264.1314162306,0
NA,NA,Flemish Brabant,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.9167,4.5833,451505,0,NA,NA,"Flemish Brabant, Belgium",39392.32665168931,0
NA,NA,Hainaut,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.5257,4.0621,507244,0,NA,NA,"Hainaut, Belgium",37734.60264937612,0
NA,NA,Liege,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.4496,5.8492,411691,0,NA,NA,"Liege, Belgium",37190.06099411739,0
NA,NA,Limburg,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.9739,5.342,341606,0,NA,NA,"Limburg, Belgium",39083.20824485612,0
NA,NA,Luxembourg,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.0547,5.4677,120712,0,NA,NA,"Luxembourg, Belgium",42408.95453172099,0
NA,NA,Namur,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.331,4.8221,198766,0,NA,NA,"Namur, Belgium",40209.57871845446,0
NA,NA,Unknown,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,NA,NA,62027,32941,NA,NA,"Unknown, Belgium",NA,53.10751769390749
NA,NA,Walloon Brabant,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,50.4,4.35,169860,0,NA,NA,"Walloon Brabant, Belgium",42086.328261467446,0
NA,NA,West Flanders,Belgium,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,51.0536,3.1458,488341,0,NA,NA,"West Flanders, Belgium",40838.15299599597,0
NA,NA,NA,Belize,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,17.1899,-88.4976,68957,687,NA,NA,Belize,17342.39388764678,0.9962730397204056
NA,NA,NA,Benin,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,9.3077,2.3158,27782,163,NA,NA,Benin,229.16395492344512,0.5867108199553668
NA,NA,NA,Bhutan,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,27.5142,90.4336,62380,21,NA,NA,Bhutan,8084.374011809044,0.03366463610131452
NA,NA,NA,Bolivia,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-16.2902,-63.5887,1109529,22239,NA,NA,Bolivia,9505.065052095732,2.0043640139194197
NA,NA,NA,Bosnia and Herzegovina,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,43.9159,17.6791,400043,16180,NA,NA,Bosnia and Herzegovina,12193.403163543206,4.044565209240007
NA,NA,NA,Botswana,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-22.3285,24.6849,326344,2790,NA,NA,Botswana,13877.382660925956,0.854926090260584
NA,NA,Acre,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-9.0238,-70.812,149885,2029,NA,NA,"Acre, Brazil",16995.016639548267,1.3537045067885378
NA,NA,Alagoas,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-9.5713,-36.782,321582,7128,NA,NA,"Alagoas, Brazil",9635.828591307432,2.2165419706326848
NA,NA,Amapa,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,0.902,-52.003,178467,2164,NA,NA,"Amapa, Brazil",21102.09984025653,1.2125490987129273
NA,NA,Amazonas,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-3.4168,-65.8561,619738,14358,NA,NA,"Amazonas, Brazil",14952.913395439897,2.3167854803158754
NA,NA,Bahia,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-12.5797,-41.7007,1704438,30795,NA,NA,"Bahia, Brazil",11459.898242890638,1.8067538977657152
NA,NA,Ceara,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-5.4984,-39.3206,1386713,28007,NA,NA,"Ceara, Brazil",15185.076167768168,2.019668092820937
NA,NA,Distrito Federal,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-15.7998,-47.8645,843162,11832,NA,NA,"Distrito Federal, Brazil",27963.086531611785,1.4032890476563222
NA,NA,Espirito Santo,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-19.1834,-40.3089,1217546,14834,NA,NA,"Espirito Santo, Brazil",30297.388426461624,1.2183523250866908
NA,NA,Goias,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-15.827,-49.8362,1727729,27581,NA,NA,"Goias, Brazil",24617.296306227927,1.5963730423000366
NA,NA,Maranhao,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-4.9609,-45.2744,474755,10997,NA,NA,"Maranhao, Brazil",6710.146355266388,2.316352645048499
NA,NA,Mato Grosso,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-12.6819,-56.9211,832626,14957,NA,NA,"Mato Grosso, Brazil",23895.36875951724,1.7963647544035375
NA,NA,Mato Grosso do Sul,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-20.7722,-54.7852,582378,10845,NA,NA,"Mato Grosso do Sul, Brazil",20956.49276390741,1.8621925965609964
NA,NA,Minas Gerais,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-18.5122,-44.555,3884248,63887,NA,NA,"Minas Gerais, Brazil",18348.936413043142,1.6447713946174394
NA,NA,Para,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-1.9981,-54.9306,845475,18887,NA,NA,"Para, Brazil",9827.830612243712,2.23389219078033
NA,NA,Paraiba,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-7.24,-36.782,654535,10406,NA,NA,"Paraiba, Brazil",16289.554809989828,1.5898309486887638
NA,NA,Parana,Brazil,2022-11-04,2022,11,4,2022-11-05T04:21:52Z,-25.2521,-52.0215,2754083,45453,NA,NA,"Parana, Brazil",24086.875610954285,1.6503859905456737
