Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,32.3182,-86.9023,1534287,20558,NA,NA,1,31291.64002581995,NA,NA,1.3399057673042918,84000001,USA,NA,NA
Alaska,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,61.3707,-152.4044,300544,1413,NA,NA,2,41083.46034762045,NA,NA,0.4701474659284497,84000002,USA,NA,NA
American Samoa,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,-14.271,-170.132,8257,34,NA,NA,60,14839.776423860105,NA,NA,0.4117718299624561,16,ASM,NA,NA
Arizona,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,33.7298,-111.4312,2293015,31573,NA,NA,4,31503.010764122304,NA,NA,1.3769207789744071,84000004,USA,NA,NA
Arkansas,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,34.9697,-92.3731,960920,12506,NA,NA,5,31841.696809998262,NA,NA,1.301461099779378,84000005,USA,NA,NA
California,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,36.1162,-119.6816,11386154,96998,NA,NA,6,28815.587014681507,NA,NA,0.8519298673359753,84000006,USA,NA,NA
Colorado,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,39.0598,-105.3111,1678078,13439,NA,NA,8,29139.693154886765,NA,NA,0.8008566943848856,84000008,USA,NA,NA
Connecticut,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,41.5978,-72.7554,914441,11478,NA,NA,9,25648.45410762163,NA,NA,1.2551930633031545,84000009,USA,NA,NA
Delaware,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,39.3185,-75.5071,313751,3147,NA,NA,10,32220.43534162281,NA,NA,1.003024691554768,84000010,USA,NA,NA
Diamond Princess,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,38.8974,-77.0268,170041,1397,NA,NA,11,24093.69336690523,NA,NA,0.8215665633582488,84000011,USA,NA,NA
Florida,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,27.7663,-81.6868,7203370,82357,NA,NA,12,33538.77552369693,NA,NA,1.143312088647397,84000012,USA,NA,NA
Georgia,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,33.0406,-83.6431,2924732,40696,NA,NA,13,27546.53365510633,NA,NA,1.391443728861311,84000013,USA,NA,NA
Grand Princess,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA
Guam,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,13.4443,144.7937,58850,403,NA,NA,66,35834.10968830109,NA,NA,0.6847918436703483,316,GUM,NA,NA
Hawaii,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,21.0943,-157.4983,362834,1711,NA,NA,15,25626.186547936537,NA,NA,0.4715655092962622,84000015,USA,NA,NA
Idaho,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,44.2405,-114.4788,500884,5225,NA,NA,16,28028.30339131481,NA,NA,1.043155700721125,84000016,USA,NA,NA
Illinois,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,40.3495,-88.9861,3821440,40040,NA,NA,17,30156.99164311112,NA,NA,1.0477725674091445,84000017,USA,NA,NA
Indiana,US,2022-11-03,2022,11,3,2022-11-04T04:31:41Z,39.8494,-86.2583,1942708,24950,NA,NA,18,28856.87467980468,NA,NA,1.2842897645966351,84000018,USA,NA,NA
