Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,32.3182,-86.9023,1517904,20395,NA,NA,1,30957.510271384825,NA,NA,1.3436291096143105,84000001,USA,NA,NA
Alaska,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,61.3707,-152.4044,297562,1364,NA,NA,2,40675.82992160427,NA,NA,0.4583918645525974,84000002,USA,NA,NA
American Samoa,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,-14.271,-170.132,8244,34,NA,NA,60,14816.412357793712,NA,NA,0.4124211547792333,16,ASM,NA,NA
Arizona,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,33.7298,-111.4312,2268158,31326,NA,NA,4,31161.508271306604,NA,NA,1.3811207155762515,84000004,USA,NA,NA
Arkansas,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,34.9697,-92.3731,949754,12080,NA,NA,5,31471.69266128616,NA,NA,1.27190830467679,84000005,USA,NA,NA
California,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,36.1162,-119.6816,11237976,95796,NA,NA,6,28429.87599052577,NA,NA,0.8527877352964531,84000006,USA,NA,NA
Colorado,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,39.0598,-105.3111,1649863,13272,NA,NA,8,28649.74188780316,NA,NA,0.8044304284658786,84000008,USA,NA,NA
Connecticut,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,41.5978,-72.7554,893264,11343,NA,NA,9,25054.476680278472,NA,NA,1.269837360511562,84000009,USA,NA,NA
Delaware,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,39.3185,-75.5071,307270,3101,NA,NA,10,31554.873665487736,NA,NA,1.0092101409184104,84000010,USA,NA,NA
Diamond Princess,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,38.8974,-77.0268,168032,1383,NA,NA,11,23809.03125615481,NA,NA,0.8230575128546943,84000011,USA,NA,NA
Florida,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,27.7663,-81.6868,7150188,81139,NA,NA,12,33291.16098218355,NA,NA,1.1347813512036329,84000012,USA,NA,NA
Georgia,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,33.0406,-83.6431,2900354,40171,NA,NA,13,27316.929917928297,NA,NA,1.385037826417051,84000013,USA,NA,NA
Grand Princess,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA
Guam,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,13.4443,144.7937,58489,401,NA,NA,66,35614.29467390047,NA,NA,0.6855990015216537,316,GUM,NA,NA
Hawaii,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,21.0943,-157.4983,343204,1679,NA,NA,15,24239.76178637617,NA,NA,0.4892134124310905,84000015,USA,NA,NA
Idaho,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.2405,-114.4788,494593,5166,NA,NA,16,27676.273666598583,NA,NA,1.04449517077678,84000016,USA,NA,NA
Illinois,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,40.3495,-88.9861,3751275,39624,NA,NA,17,29603.28274839109,NA,NA,1.056280864506068,84000017,USA,NA,NA
Indiana,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,39.8494,-86.2583,1919328,24670,NA,NA,18,28509.58948305157,NA,NA,1.2853457043298488,84000018,USA,NA,NA
Iowa,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,42.0115,-93.2105,854054,10051,NA,NA,19,27069.2567835262,NA,NA,1.1768576694213717,84000019,USA,NA,NA
Kansas,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,38.5266,-96.7265,876221,9079,NA,NA,20,30076.435289845173,NA,NA,1.0361541209352436,84000020,USA,NA,NA
Kentucky,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,37.6681,-84.6701,1572041,16945,NA,NA,21,35187.02017806585,NA,NA,1.077898095533132,84000021,USA,NA,NA
Louisiana,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,31.1695,-91.8678,1452495,18009,NA,NA,22,31244.55503943604,NA,NA,1.239866574411616,84000022,USA,NA,NA
Maine,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,44.6939,-69.3819,288243,2573,NA,NA,23,21443.26936524893,NA,NA,0.8926496046738343,84000023,USA,NA,NA
Maryland,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,39.0639,-76.8021,1244747,15351,NA,NA,24,20589.0321684244,NA,NA,1.2332626630150545,84000024,USA,NA,NA
Massachusetts,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,42.2302,-71.5301,2040602,21646,NA,NA,25,29606.10971079737,NA,NA,1.060765401582474,84000025,USA,NA,NA
Michigan,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,43.3266,-84.5361,2821489,38464,NA,NA,26,28252.021632030977,NA,NA,1.3632518149104955,84000026,USA,NA,NA
Minnesota,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,45.6945,-93.9002,1658677,13613,NA,NA,27,29411.085687860483,NA,NA,0.8207143404050337,84000027,USA,NA,NA
Mississippi,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,32.7416,-89.6787,925596,12879,NA,NA,28,31100.459015996847,NA,NA,1.3914277935513983,84000028,USA,NA,NA
Missouri,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,38.4561,-92.2884,1652710,21633,NA,NA,29,26927.941150592724,NA,NA,1.308962456805086,84000029,USA,NA,NA
Montana,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,46.9219,-110.4544,309452,3518,NA,NA,30,28953.81454333828,NA,NA,1.136848364205111,84000030,USA,NA,NA
Nebraska,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,41.1254,-98.2681,536242,4507,NA,NA,31,27721.245983267232,NA,NA,0.8404787390767601,84000031,USA,NA,NA
Nevada,US,2022-09-25,2022,9,25,2022-09-26T04:33:22Z,38.3135,-117.0554,846812,11475,NA,NA,32,27492.5036264397,NA,NA,1.3550823559420508,84000032,USA,NA,NA
