Confirmed,Deaths,Recovered,Active,FIPS,People_Hospitalized,Case_Fatality_Ratio,UID,Date,Last_Update,People_Tested,Hospitalization_rate,Mortality_Rate,Testing_Rate,Incident_Rate,Total_Test_Results
365747,4872,202137,158738,1,NA,1.3320683423240656,84000001,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,NA,7459.375895463867,NA
47019,206,7165,39648,2,NA,0.4381207596928901,84000002,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,174391.1857780451,6427.355801762024,1275750
0,0,NA,NA,60,NA,NA,16,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,3846.084721698028,0,2140
530267,9015,76934,444318,4,NA,1.7000869373353424,84000004,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,39551.860582022906,7285.171274003372,5155330
229442,3711,199247,26484,5,NA,1.6174022192972517,84000005,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,67979.49767446793,7602.945718144717,2051488
2434946,26258,NA,NA,6,NA,1.0743439616803088,84000006,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,83666.03670970372,6164.469662969861,33058311
362438,5435,18102,314186,8,NA,1.4453035790023163,84000008,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,77173.28941628858,5854.774381044729,4444206
185708,5995,9800,169913,9,NA,3.2281861847631768,84000009,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,121187.80339422885,5208.781228551867,4320693
58064,1065,18851,38148,10,NA,1.8341829705152928,84000010,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,1.0491063543117223e-5,5962.841099075341,1021582
49,0,NA,NA,88888,NA,0,84088888,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,NA,NA,NA
29252,788,20941,7523,11,NA,2.6938329003145083,84000011,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,128133.65658328951,4144.816358223675,904302
1323315,21673,NA,NA,12,NA,1.6377808760574768,84000012,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,80979.47190618825,6161.333477544678,17392558
677589,10958,NA,NA,13,NA,1.6172045295894708,84000013,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,50869.726109621886,6381.859326881862,5401054
103,3,NA,NA,99999,NA,2.912621359223301,84099999,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,NA,NA,NA
7326,122,7047,157,66,NA,1.6653016653016652,316,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,58577.35235555231,4460.844308861407,96201
22397,289,11958,10150,15,NA,1.2903513863463856,84000015,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,57689.60753514442,1581.8520318220856,816811
141077,1436,58649,80992,16,NA,1.0178838506631132,84000016,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,30524.071592247623,7894.340720678879,545485
963389,17978,NA,NA,17,NA,1.866120539055356,84000017,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,105546.5114287836,7602.6089699341555,13374665
517773,9468,345474,162831,18,NA,1.828600564339972,84000018,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,8.51137344165423e-6,7690.970837401457,5730043
282980,3898,241229,37853,19,NA,1.3774825075977102,84000019,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,37222.81914505859,8969.056154063142,1174406
230108,2892,4612,222604,20,NA,1.2568011542406174,84000020,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,34754.441162195355,7898.496351577619,1012506
265261,2623,36740,225898,21,NA,0.9888374091932096,84000021,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,70475.30112432133,5937.341430315066,3148606
315275,7488,263712,44075,22,NA,2.375069383871224,84000022,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,90651.08068888405,6781.866436757577,4214182
24902,352,11374,13176,23,NA,1.4135410810376676,84000023,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,82681.37763983657,1852.535165584,1111413
280219,5942,9358,264919,24,NA,2.120484335466189,84000024,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,9.530001587910706e-6,4635.028648555663,5761534
375178,10522,261672,101083,25,NA,3.3112282703143574,84000025,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,1.587913563476142e-5,5443.276557152025,10944699
528621,13018,318389,197214,26,NA,2.462633909738736,84000026,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,8.213548066223438e-6,5293.166809137249,8202753
415302,5382,397080,12840,27,NA,1.2959244116329804,84000027,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,94888.79770878667,7363.9911256621,5351379
218386,4816,167263,46307,28,NA,2.205269568562087,84000028,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,45227.70869334835,7337.871860582249,1346044
445019,5747,397080,42192,29,NA,1.2914055354939902,84000029,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,59731.53575080637,7250.903798789982,3665980
81555,961,74991,5603,30,NA,1.178345901538839,84000030,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,74064.86660466439,7630.677278162537,791589
167716,1668,107694,58354,31,NA,0.994538386319731,84000031,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,90767.82147302949,8670.146111885393,1755820
227046,3143,NA,NA,32,NA,1.3843009786563076,84000032,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,68041.29401238119,7371.250027596005,2095778
45932,759,37350,7823,33,NA,1.6524427414438736,84000033,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,76146.84296883676,3378.070781217479,1035377
535043,19160,56109,459774,34,NA,3.5810205908683974,84000034,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,87734.15114966016,6023.773416240814,7792714
144142,2502,66638,75002,35,NA,1.7357883198512578,84000035,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,94595.5535716074,6874.284932152312,1983507
995816,37973,102968,854875,36,NA,3.8132546574869255,84000036,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,131103.5701895401,5118.939406517912,25504313
539545,6748,403488,129309,37,NA,1.2506834462371073,84000037,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,6.678074851421861e-6,5144.361925400292,7004021
92221,1316,89314,2140,38,NA,1.4185620351406705,84000038,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,167693.70471169017,12173.550183580865,1277930
122,2,29,91,69,NA,1.639344262295082,580,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,31827.57870303206,221.23893805309731,17551
700380,13766,556106,130508,39,NA,1.9655044404466149,84000039,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,7.491806897023723e-6,5991.735890701594,8757248
291209,2489,255843,32877,40,NA,0.854712594734366,84000040,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,67861.35152367808,7359.391817630202,2685254
113909,1477,5870,106562,41,NA,1.2966490795283954,84000041,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,62893.20552703974,2700.713676552142,2652670
657071,16245,429017,211809,42,NA,2.4723355619103566,84000042,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,30645.581713903983,5132.56963429667,7607664
77054,1521,66930,8603,72,NA,1.973940353518312,630,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,43409.07425695762,2412.69201119456,1386353
87949,1944,5381,80624,44,NA,2.210371920090052,84000044,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,186385.75518638128,8302.080216281325,1974498
307507,5296,151084,151127,45,NA,1.7222372173641576,84000045,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,61627.44716447641,5972.501094448051,3173021
99164,1488,91980,5696,46,NA,1.5005445524585534,84000046,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,6.751595812623847e-6,11209.290811487816,597286
592170,6955,508914,76463,47,NA,1.1741725923975068,84000047,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,82646.27610894085,8673.55261412288,5644058
1819793,28372,1435164,356270,48,NA,1.5583640556920484,84000048,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,47761.232017747614,6276.039689913198,13848790
276612,1269,224439,50904,49,NA,0.4587653464057958,84000049,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,70035.32173534401,8628.060629615235,2245303
7412,136,4959,2317,50,NA,1.834862385321101,84000050,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,111813.66979225595,1187.8414523332942,697705
2036,23,1901,112,78,NA,1.1296660117878192,850,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,33758.4368124697,1898.0497445650144,36212
354766,5081,30964,318721,51,NA,1.4322116550063986,84000051,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,50276.02890931413,4156.34948501667,4291320
246752,3461,NA,NA,53,NA,1.402622876410323,84000053,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,50385.73752776303,3240.3869627583736,3836820
87820,1361,60316,26143,54,NA,1.5497608745160556,84000054,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,85678.63015701277,4900.2676677750205,1535487
522523,5254,450358,66911,55,NA,1.005505977727296,84000055,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,9.241544000327012e-6,8974.3052475992,5380828
44409,438,42570,1401,56,NA,0.9862865635344188,84000056,2021-01-01,2021-01-02T05:30:44Z,NA,NA,NA,86699.99084247503,7673.142015934093,501784
896614,16455,NA,NA,1,NA,1.8352379061669792,84000001,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,NA,18286.358764762088,NA
157169,978,NA,NA,2,NA,0.6222601149081561,84000002,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,503824.3717064569,21484.52931808706,3685702
10,0,NA,NA,60,NA,0,16,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,3846.084721698028,17.97235851260761,2140
1389708,24354,NA,NA,4,NA,1.7524544724503277,84000004,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,214781.1764078752,19092.760441160164,15633314
570641,9180,NA,NA,5,NA,1.608717214500886,84000005,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,146782.75991416274,18909.14718119533,4429616
5519618,76480,NA,NA,6,NA,1.385972516375106,84000006,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,304530.0564334232,13972.974894376355,120326595
1004704,10815,NA,NA,8,NA,1.1052702375507788,84000008,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,246676.6839111916,16136.787656180106,14205459
510188,9160,NA,NA,9,NA,1.795416591530965,84000009,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,335026.4368618852,14309.871827990286,11944654
183880,2286,NA,NA,10,NA,1.2432020883184685,84000010,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,2.8632420175730465e-5,18883.42555280335,2788122
49,0,NA,NA,88888,NA,0,84088888,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,NA,NA,NA
94286,1211,NA,NA,11,NA,1.2843900473028869,84000011,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,377677.7579564406,13359.707204686085,2665457
4209927,62504,NA,NA,12,NA,1.484681325828215,84000012,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,217069.2145080276,19601.352786841555,46621555
1839879,31443,NA,NA,13,NA,1.708971079076396,84000013,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,132590.45062064493,17328.86595928221,14077689
103,3,NA,NA,99999,NA,2.912621359223301,84099999,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,NA,NA,NA
19618,270,NA,NA,66,NA,1.3762870832908554,316,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,167660.40102539747,11945.515103909784,275347
115642,1094,NA,NA,15,NA,0.9460230712025044,84000015,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,214050.3520092212,8167.546218867242,3030679
319382,4162,NA,NA,16,NA,1.303141692393435,84000016,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,60897.78491548992,17871.873714722184,1088283
2149574,31017,NA,NA,17,NA,1.4074586843373584,84000017,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,350933.2241987951,16963.213100942634,44469630
1246854,19037,NA,NA,18,NA,1.5268026569269535,84000018,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,2.4731278052600487e-5,18520.6987473224,16649638
575501,7858,NA,NA,19,NA,1.365419000140747,84000019,2022-01-01,2022-01-02T04:32:57Z,NA,NA,NA,57949.80776971668,18240.514473529907,1828357
