Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,Year,Month,Day,Hospitalization_rate
Alabama,US,2021-01-02T05:30:44Z,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895463867,NA,NA,1.3320683423240656,84000001,USA,NA,NA,2021-01-01,NA,NA,2021,1,1,NA
Alaska,US,2021-01-02T05:30:44Z,61.3707,-152.4044,47019,206,7165,39648,2,6427.355801762024,1275750,NA,0.4381207596928901,84000002,USA,174391.1857780451,NA,2021-01-01,NA,NA,2021,1,1,NA
American Samoa,US,2021-01-02T05:30:44Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-01,NA,NA,2021,1,1,NA
Arizona,US,2021-01-02T05:30:44Z,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274003372,5155330,NA,1.7000869373353424,84000004,USA,39551.860582022906,NA,2021-01-01,NA,NA,2021,1,1,NA
Arkansas,US,2021-01-02T05:30:44Z,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718144717,2051488,NA,1.6174022192972517,84000005,USA,67979.49767446793,NA,2021-01-01,NA,NA,2021,1,1,NA
California,US,2021-01-02T05:30:44Z,36.1162,-119.6816,2434946,26258,NA,NA,6,6164.469662969861,33058311,NA,1.0743439616803088,84000006,USA,83666.03670970372,NA,2021-01-01,NA,NA,2021,1,1,NA
Colorado,US,2021-01-02T05:30:44Z,39.0598,-105.3111,362438,5435,18102,314186,8,5854.774381044729,4444206,NA,1.4453035790023163,84000008,USA,77173.28941628858,NA,2021-01-01,NA,NA,2021,1,1,NA
Connecticut,US,2021-01-02T05:30:44Z,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781228551867,4320693,NA,3.2281861847631768,84000009,USA,121187.80339422885,NA,2021-01-01,NA,NA,2021,1,1,NA
Delaware,US,2021-01-02T05:30:44Z,39.3185,-75.5071,58064,1065,18851,38148,10,5962.841099075341,1021582,NA,1.8341829705152928,84000010,USA,1.0491063543117223e-5,NA,2021-01-01,NA,NA,2021,1,1,NA
Diamond Princess,US,2021-01-02T05:30:44Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-01,NA,NA,2021,1,1,NA
District of Columbia,US,2021-01-02T05:30:44Z,38.8974,-77.0268,29252,788,20941,7523,11,4144.816358223675,904302,NA,2.6938329003145083,84000011,USA,128133.65658328951,NA,2021-01-01,NA,NA,2021,1,1,NA
Florida,US,2021-01-02T05:30:44Z,27.7663,-81.6868,1323315,21673,NA,NA,12,6161.333477544678,17392558,NA,1.6377808760574768,84000012,USA,80979.47190618825,NA,2021-01-01,NA,NA,2021,1,1,NA
Georgia,US,2021-01-02T05:30:44Z,33.0406,-83.6431,677589,10958,NA,NA,13,6381.859326881862,5401054,NA,1.6172045295894708,84000013,USA,50869.726109621886,NA,2021-01-01,NA,NA,2021,1,1,NA
Grand Princess,US,2021-01-02T05:30:44Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,2021-01-01,NA,NA,2021,1,1,NA
Guam,US,2021-01-02T05:30:44Z,13.4443,144.7937,7326,122,7047,157,66,4460.844308861407,96201,NA,1.6653016653016652,316,GUM,58577.35235555231,NA,2021-01-01,NA,NA,2021,1,1,NA
Hawaii,US,2021-01-02T05:30:44Z,21.0943,-157.4983,22397,289,11958,10150,15,1581.8520318220856,816811,NA,1.2903513863463856,84000015,USA,57689.60753514442,NA,2021-01-01,NA,NA,2021,1,1,NA
Idaho,US,2021-01-02T05:30:44Z,44.2405,-114.4788,141077,1436,58649,80992,16,7894.340720678879,545485,NA,1.0178838506631132,84000016,USA,30524.071592247623,NA,2021-01-01,NA,NA,2021,1,1,NA
