"date","location","administered","admin_per_100k","series_complete_pop_pct","additional_doses_vax_pct","second_booster","administered_bivalent"
2022-11-09,"FL","40849838","190196","68.9","43.2",NA,NA
2022-11-09,"GU","384427","228161","84.9","52.7",NA,NA
2022-11-09,"NV","5394701","175144","62.9","42",NA,NA
2022-11-09,"MH","92665","119197","44.1","43.3",NA,NA
2022-11-09,"AR","4700819","155770","56.3","43.5",NA,NA
2022-11-09,"DD2","9139222","0","0","26.7",NA,NA
2022-11-09,"IA","5830416","184795","63.8","56.3",NA,NA
2022-11-09,"FM","183213","179059","67.5","50",NA,NA
2022-11-09,"OK","6526929","164948","59.8","40.8",NA,NA
2022-11-09,"MP","114560","220941","84.4","52.5",NA,NA
2022-11-09,"TN","10981960","160809","56","47.3",NA,NA
2022-11-09,"KY","7243955","162142","59.1","47.6",NA,NA
2022-11-09,"ID","2760271","154458","56","47.3",NA,NA
2022-11-09,"MO","10057066","163865","58.3","46.3",NA,NA
2022-11-09,"WI","11802489","202707","67.6","59.6",NA,NA
2022-11-09,"AK","1276350","174473","64.7","48.3",NA,NA
2022-11-09,"NY","43379864","222992","79.8","48.2",NA,NA
2022-11-09,"NH","2740318","201537","70.5","52.2",NA,NA
2022-11-09,"VA","18482719","216539","75.7","52",NA,NA
2022-11-09,"MN","12080734","214211","71.4","61.8",NA,NA
2022-11-09,"ND","1251627","164242","57.9","47.4",NA,NA
2022-11-09,"BP2","337135","0","0","37.6",NA,NA
2022-11-09,"NC","18764942","178917","65.8","30.8",NA,NA
2022-11-09,"AL","6735771","137375","52.6","38.6",NA,NA
2022-11-09,"US","646524294","194731","68.6","49.7","37106370","31518618"
2022-11-09,"MS","4188855","140747","53.4","40.5",NA,NA
2022-11-09,"AZ","13913486","191153","65.4","48.8",NA,NA
2022-11-09,"VI","152264","143253","54.9","31.5",NA,NA
2022-11-09,"MA","17107934","248211","82.9","55.1",NA,NA
2022-11-09,"NJ","19065392","214647","78.3","51",NA,NA
2022-11-09,"RI","2533876","239189","86.7","57.2",NA,NA
2022-11-09,"MD","13987590","231365","78.8","55.6",NA,NA
2022-11-09,"NM","4504335","214817","74.2","53.6",NA,NA
2022-11-09,"CA","84115688","212885","74.4","56.2",NA,NA
